Timestamp start: 1747126903519
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      209.1    85.0    63.8   106.1   122.3   209.2   229.6   241.4   250.6   262.2   275.9   297.2   356.6   968.4  3056.3   4938.1     5000  1747126905025  1747126910228
read      220.4   102.2    63.8   115.6   140.9   216.4   238.2   252.0   262.5   274.0   290.3   314.5   385.0   947.5  4067.5  10027.0    10000  1747126911732  1747126916929
read      220.8    67.0    63.8   120.3   143.3   218.4   242.2   255.6   266.2   277.6   293.4   316.9   378.3   570.6  1851.7  14980.0    15000  1747126918433  1747126923598
read      226.7    88.3    59.1   120.3   139.6   223.9   250.7   265.9   276.2   289.7   306.0   331.3   397.9   850.9  2564.0  20149.8    20000  1747126925102  1747126930268
read      233.8    87.4    59.1   123.1   141.5   231.7   261.8   277.3   288.7   301.2   317.1   343.2   419.7   596.0  3105.1  25061.2    25000  1747126931771  1747126936939
read      228.1    91.6    59.1   117.4   133.1   225.6   257.3   273.8   285.8   298.2   315.3   341.6   417.7   575.1  3625.0  30077.6    30000  1747126938442  1747126943610
read      222.5    77.5    63.8   114.1   127.7   220.5   253.0   270.2   282.6   296.3   314.3   341.9   411.6   523.1  1612.1  34887.6    35000  1747126945113  1747126950279
read      223.8    77.1    59.1   113.7   126.6   222.4   258.5   276.2   288.5   301.8   318.0   343.7   412.2   501.8   943.5  39994.6    40000  1747126951782  1747126956958
read      219.6    84.2    59.1   111.1   122.4   215.8   253.4   272.6   285.8   299.8   317.6   345.4   422.4   543.1  1414.6  44977.8    45000  1747126958462  1747126963630
read      219.3    92.5    63.8   110.9   121.5   213.7   254.2   274.4   288.4   303.9   321.6   352.5   430.2   533.4  1670.8  50167.4    50000  1747126965133  1747126970300
read      215.6    83.9    63.8   109.4   118.9   208.8   251.9   272.0   285.7   300.4   318.7   347.9   423.7   565.1  2019.5  55041.6    55000  1747126971804  1747126976973
read      216.6    91.8    59.1   108.8   118.4   205.2   252.5   275.1   290.4   307.1   326.7   358.8   437.2   629.1  2377.5  59905.3    60000  1747126978476  1747126983644
read      214.6   106.1    59.1   106.8   116.2   199.8   250.3   274.5   290.0   307.0   327.4   359.5   435.4   639.8  3539.7  64843.8    65000  1747126985147  1747126990316
read      211.3    98.7    59.1   106.6   115.8   196.3   246.7   271.5   287.4   304.5   324.2   355.6   429.6   549.5  2283.1  70104.8    70000  1747126991818  1747126996987
read      212.3    96.1    59.1   106.8   115.8   193.8   246.8   273.2   289.9   308.1   330.3   364.7   453.1   672.7  2280.3  75009.8    75000  1747126998491  1747127003657
read      206.5    89.9    59.1   105.2   114.0   187.7   238.4   265.5   282.5   300.6   321.8   355.8   434.6   569.5  1131.6  79877.6    80000  1747127005162  1747127010332
read      209.6    94.0    59.1   105.1   114.1   187.7   240.9   269.9   288.3   307.7   331.2   367.1   458.4   688.4  2231.0  84800.0    85000  1747127011835  1747127017013
read      206.8   111.3    59.1   105.0   113.7   183.1   235.9   266.2   285.5   306.0   329.8   364.3   439.5   568.4  4822.3  89909.6    90000  1747127018515  1747127023681
read      203.5    96.4    54.7   104.7   113.2   180.2   230.2   260.8   280.5   301.2   324.1   358.5   430.6   560.2  2733.8  95089.8    95000  1747127025185  1747127030353
read      201.7    95.3    63.8   104.3   112.8   177.9   226.9   257.6   278.0   299.3   323.4   358.2   429.5   542.7  2345.4  99795.2   100000  1747127031855  1747127037022
read      201.9    92.9    59.1   104.7   113.2   177.4   225.6   256.2   277.2   299.4   325.1   362.4   437.6   584.3  2503.3 105118.1   105000  1747127038525  1747127043691
read      202.3    93.2    63.8   105.5   114.1   177.6   224.9   255.7   277.1   299.5   324.4   361.0   443.1   668.2  1885.7 110024.8   110000  1747127045194  1747127050362
read      198.1    86.3    63.8   105.1   113.6   174.0   217.6   247.6   269.4   293.3   319.5   356.5   431.7   549.3  1374.3 114926.4   115000  1747127051864  1747127057033
read      203.3   101.8    59.1   106.8   115.3   176.9   222.6   253.3   275.7   300.7   328.8   368.1   456.1   627.1  4118.9 119874.1   120000  1747127058535  1747127063703
read      199.7    88.2    63.8   106.3   115.1   175.4   218.1   247.8   269.6   293.9   320.5   358.4   437.0   603.6  1911.0 124684.5   125000  1747127065206  1747127070376
