Timestamp start: 1747126570784
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      207.2   107.3    59.1   102.7   117.6   205.1   226.2   237.7   247.8   259.3   274.9   302.7   388.1   960.1  3927.5   4955.8     5000  1747126572290  1747126577492
read      214.2    81.1    63.8   112.4   136.8   211.8   232.2   244.7   253.5   265.9   281.1   305.9   374.2   929.7  2343.7   9999.6    10000  1747126578995  1747126584195
read      223.8   112.4    63.8   121.8   144.0   219.8   243.5   257.3   267.9   279.9   295.2   319.2   388.3   912.7  4029.9  15106.0    15000  1747126585698  1747126590869
read      222.9    74.9    63.8   119.4   138.7   220.4   246.1   261.0   271.7   285.0   300.8   326.6   399.3   540.2  1986.3  20010.6    20000  1747126592372  1747126597541
read      226.5    72.8    63.8   118.7   135.9   224.0   252.3   268.8   280.5   293.8   311.6   339.3   413.1   572.1  1491.3  24946.4    25000  1747126599044  1747126604213
read      224.7    85.5    54.7   116.4   132.2   221.7   251.4   268.3   280.2   294.0   312.4   340.7   416.9   549.7  2321.7  29844.0    30000  1747126605715  1747126610885
read      223.8   148.5    59.1   113.9   127.8   219.4   251.0   268.4   280.6   294.5   312.8   340.6   408.9   667.5  9119.0  34912.0    35000  1747126612388  1747126617555
read      221.1    85.2    59.1   112.7   125.3   218.0   251.8   269.9   282.8   296.9   316.0   344.7   421.6   567.4  2341.4  39950.6    40000  1747126619058  1747126624225
read      217.1    87.3    59.1   110.9   122.1   213.2   248.5   267.0   279.8   294.4   313.0   341.5   417.7   532.5  2617.8  44928.8    45000  1747126625728  1747126630895
read      219.8    87.9    59.1   110.6   121.4   214.3   255.2   275.3   289.3   304.8   322.7   352.2   424.1   542.6  1187.9  50013.2    50000  1747126632398  1747126637568
read      217.5    92.3    59.1   109.2   119.1   210.0   252.3   272.9   287.2   303.0   321.9   355.2   440.0   613.6  2110.6  54942.5    55000  1747126639071  1747126644238
read      216.3    92.0    63.8   109.4   118.8   206.0   251.3   273.8   289.0   305.8   326.0   357.4   436.8   615.7  1997.1  59887.4    60000  1747126645742  1747126650911
read      214.3   105.5    59.1   107.0   116.5   201.3   250.3   274.5   290.1   307.2   327.6   359.1   429.6   562.5  3594.9  65017.4    65000  1747126652414  1747126657584
read      217.0    95.4    63.8   107.4   116.8   200.5   253.6   279.9   296.7   314.8   337.0   371.0   452.3   605.6  2471.0  69917.8    70000  1747126659087  1747126664256
read      215.4   105.1    63.8   107.5   116.7   196.5   249.4   276.7   294.3   313.4   336.2   369.9   454.9   623.0  3362.2  74950.1    75000  1747126665759  1747126670926
read      209.1    94.0    59.1   105.8   114.7   190.0   241.6   269.1   286.5   305.2   327.1   361.4   438.3   582.0  2360.9  80067.8    80000  1747126672429  1747126677598
read      212.4   112.0    63.8   106.6   115.4   188.6   240.2   269.7   289.1   309.6   333.9   370.3   475.4  1161.4  3123.8  85239.2    85000  1747126679101  1747126684270
read      210.0    98.3    54.7   106.0   115.0   186.6   239.5   269.8   289.7   310.7   335.2   370.9   460.8   633.7  1283.4  90018.2    90000  1747126685774  1747126690943
read      210.2    95.8    63.8   107.2   116.1   185.2   237.2   268.5   289.1   311.3   337.4   374.6   466.3   646.4  1946.1  95213.2    95000  1747126692447  1747126697617
read      203.4    89.4    63.8   105.8   114.5   180.2   228.3   258.4   278.8   300.5   324.6   360.4   436.3   576.9  1557.8  99845.4   100000  1747126699121  1747126704290
read      205.0   108.4    59.1   106.1   114.9   179.9   228.6   259.6   280.8   303.6   329.9   367.7   451.6   620.1  2185.3 105256.5   105000  1747126705793  1747126710962
read      202.4   110.2    63.8   105.8   114.6   178.2   224.1   254.4   275.5   298.3   324.6   360.9   436.5   565.5  2919.3 109953.6   110000  1747126712466  1747126717633
read      201.0    99.6    59.1   105.3   114.1   177.1   221.4   251.0   272.1   295.1   321.3   359.9   438.3   593.7  2590.2 114760.6   115000  1747126719136  1747126724306
read      199.8    88.8    59.1   106.1   114.9   176.0   218.7   248.5   270.3   294.2   321.1   359.2   433.5   556.3  1727.9 120252.4   120000  1747126725809  1747126730977
read      198.6    85.0    54.7   106.1   114.7   174.8   216.4   246.0   267.8   291.8   319.0   358.0   435.2   550.0  1005.2 124696.7   125000  1747126732480  1747126737648
