Timestamp start: 1747241808651
Random waveform, random seed
Total number of intervals = 96 (122635, 82746, 106244, 57271, 14450, 110250, 7663, 137998, 152289, 56207, 149809, 28872, 113034, 64320, 170396, 43849, 11298, 156875, 129235, 50243, 15118, 141253, 74905, 103597, 12721, 93538, 178698, 99613, 75295, 9164, 177479, 94367, 106166, 137980, 21753, 175518, 30864, 166639, 81086, 29961, 53853, 137971, 52788, 94480, 83744, 70392, 29391, 86678, 45490, 105447, 129370, 40392, 7201, 82199, 13397, 84434, 121388, 121876, 95006, 7641, 120479, 72582, 79773, 9727, 175493, 139078, 97364, 79125, 155913, 65966, 17402, 18802, 94330, 19244, 12666, 46768, 66448, 63788, 162581, 135736, 111176, 157667, 144721, 83382, 114510, 20870, 35971, 82552, 172120, 139272, 33514, 92396, 56394, 143943, 137155, 159972)
Average QPS expected = 87223
Timestamp start: 1747241810158
Timestamp end: 1747242770397

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      247.0   125.0    59.1   127.5   143.2   229.3   271.8   296.3   314.7   336.6   365.1   408.6   518.5  1458.1  3832.7 166777.5   166639
read      221.6   104.2    59.1   105.8   115.7   201.7   261.1   288.7   306.8   326.4   350.2   387.4   466.8   684.0  2298.7  81063.8    81086
read      222.8    81.6    63.8   112.9   126.3   227.0   257.2   271.5   281.9   293.3   308.8   331.5   384.0   535.7  2235.7  29956.1    29961
read      226.8   102.3    63.8   108.3   118.9   223.6   269.9   290.5   304.2   319.0   338.7   368.6   434.8   604.2  3004.1  53956.7    53853
read      225.2   122.4    59.1   113.1   125.8   202.0   248.2   275.5   295.4   318.2   346.4   390.8   494.2  1479.5  3568.4 137772.3   137971
read      227.5    96.9    59.1   108.9   119.5   225.4   271.3   291.6   305.3   319.7   339.4   368.5   432.1   586.9  2327.3  52854.2    52788
read      220.6   110.0    63.8   106.5   116.8   196.7   255.1   285.2   305.0   326.4   352.4   391.4   469.3   799.3  3237.8  94495.4    94480
read      222.0   104.4    59.1   106.0   116.1   200.5   261.0   289.6   308.3   328.7   353.4   391.0   469.9   666.4  2264.3  83769.9    83744
read      223.8   104.7    54.7   106.1   116.2   209.5   266.3   291.4   307.9   325.8   347.3   382.3   458.0   679.9  2853.2  70220.3    70392
read      223.0    97.7    59.1   112.8   126.4   225.6   255.6   270.1   280.3   292.0   307.4   330.9   393.2   793.2  3975.4  29319.0    29391
