Timestamp start: 1747239625595
Random waveform, random seed
Total number of intervals = 96 (136524, 46783, 141139, 86190, 54755, 78151, 52371, 83014, 59984, 102820, 81357, 42411, 163679, 33748, 166587, 87327, 99463, 8996, 154329, 43409, 132540, 114638, 70446, 60211, 66355, 77118, 21523, 164769, 145245, 147859, 152213, 171835, 79394, 121736, 11126, 75586, 162974, 88042, 30137, 31795, 68181, 147861, 19540, 73555, 165793, 34168, 52604, 140612, 164366, 30606, 32590, 128631, 50455, 78177, 132584, 164596, 50072, 111848, 90057, 127984, 29178, 11886, 74418, 143370, 138150, 78306, 41597, 127448, 112877, 54686, 141180, 75081, 79213, 56480, 10485, 140872, 152642, 31970, 34635, 18750, 111560, 146090, 6573, 19376, 125591, 51018, 95290, 53822, 141132, 144537, 147853, 48031, 121028, 15828, 163101, 114879)
Average QPS expected = 89289
Timestamp start: 1747239627101
Timestamp end: 1747240587333

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      200.8    91.6    59.1   106.2   116.5   181.2   219.8   244.6   263.4   285.0   310.9   347.2   430.5   843.1  1956.6 136481.0   136524
read      209.4    82.9    59.1   108.6   118.9   206.5   244.1   261.5   272.6   285.9   301.3   323.5   372.8   570.2  2124.0  46860.2    46783
read      202.7   104.1    59.1   106.9   117.2   182.6   221.1   245.4   263.7   284.6   310.5   348.3   436.4  1101.8  2859.8 140990.0   141139
read      204.2    97.5    59.1   103.3   112.6   184.4   233.8   261.2   278.8   297.4   319.1   351.7   421.1   635.3  2868.7  86157.8    86190
read      208.4    82.9    59.1   106.4   116.5   201.6   244.3   263.9   276.3   290.7   308.0   333.3   387.6   581.9  1653.9  54707.8    54755
read      206.8   101.2    59.1   103.9   113.4   188.6   238.9   264.7   281.2   298.3   318.9   349.4   416.4   752.4  3272.4  77888.5    78151
read      208.1    82.4    63.8   107.1   117.3   202.7   243.6   262.7   274.6   288.8   305.7   331.2   386.1   500.2  1472.3  52458.7    52371
read      204.0    94.5    59.1   103.1   112.4   184.8   234.5   261.6   278.5   296.3   318.0   350.0   418.2   590.1  2406.7  82924.2    83014
read      208.8    94.3    54.7   105.9   115.8   198.9   244.5   265.5   278.9   293.8   312.5   339.7   397.1   554.2  2670.5  59918.6    59984
read      201.4    92.5    54.7   103.2   112.5   180.2   225.9   253.8   272.6   293.3   317.9   355.0   431.5   660.2  1970.7 102831.1   102820
