Timestamp start: 1747340399613
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      174.9    85.9    68.9   101.7   112.4   172.0   188.0   197.3   203.6   212.9   225.0   246.9   318.5  1022.6  3115.7   4973.0     5000  1747340401119  1747340406320
read      181.5    80.6    63.8   107.8   122.0   179.8   196.2   205.2   212.3   220.0   231.3   250.2   301.4   443.2  3629.8  10008.0    10000  1747340407822  1747340413019
read      193.4    58.2    68.9   111.2   126.1   191.1   210.6   221.2   229.3   238.3   252.0   274.7   343.6   680.1  1399.8  15022.4    15000  1747340414522  1747340419689
read      191.7    59.6    68.9   111.0   123.7   191.1   210.7   221.2   229.2   237.8   251.1   271.8   331.6   445.9  1017.6  20070.4    20000  1747340421192  1747340426360
read      198.6    58.2    63.8   112.3   125.9   198.8   221.0   232.3   240.9   251.1   264.7   285.3   334.5   472.9  1757.8  25010.4    25000  1747340427862  1747340433030
read      201.5    63.5    63.8   109.1   121.2   202.9   226.7   238.6   248.0   258.5   271.9   294.0   343.9   462.8  1952.3  30239.6    30000  1747340434532  1747340439699
read      203.2    78.2    63.8   107.8   119.8   204.3   230.3   243.6   252.7   264.5   278.1   299.9   348.9   501.1  2913.7  35134.4    35000  1747340441203  1747340446370
read      204.1    82.6    54.7   106.8   117.7   205.7   234.3   248.7   258.5   269.8   284.2   306.0   352.6   485.8  2881.8  40017.8    40000  1747340447872  1747340453042
read      199.5    64.9    63.8   104.6   114.8   200.8   230.5   245.0   254.7   267.0   281.5   303.9   353.5   445.3  1049.7  44982.1    45000  1747340454545  1747340459715
read      201.5    84.3    59.1   103.7   113.8   201.4   232.8   248.1   258.5   270.4   286.0   309.8   365.2   542.4  2520.3  49828.8    50000  1747340461218  1747340466388
read      203.3    75.0    63.8   103.4   113.7   202.0   236.6   253.2   264.8   277.3   293.9   318.9   374.4   494.7  1227.1  55187.2    55000  1747340467891  1747340473059
read      199.7    78.5    59.1   102.2   112.1   195.3   232.9   250.3   262.2   274.7   291.6   316.2   370.5   503.9  2566.9  59899.8    60000  1747340474562  1747340479730
read      198.6    81.5    59.1   101.6   110.9   192.3   232.7   250.9   263.2   275.9   293.2   318.1   372.7   503.2  2370.1  64954.6    65000  1747340481233  1747340486403
read      200.9    83.8    59.1   101.1   110.8   193.0   235.1   254.4   267.3   281.6   298.5   325.8   390.7   562.0  2287.0  70097.0    70000  1747340487907  1747340493075
read      195.5    75.7    59.1   101.0   110.0   184.7   227.9   248.1   261.6   275.8   294.2   320.6   382.6   509.5   877.5  74991.0    75000  1747340494577  1747340499746
read      196.0   100.5    59.1    99.4   108.4   182.7   227.9   249.4   263.4   278.3   296.3   323.5   389.7   567.5  4327.6  79991.6    80000  1747340501249  1747340506416
read      191.6    74.6    54.7    98.9   107.9   178.7   223.5   244.8   258.7   273.3   291.7   317.6   373.8   472.5  1075.6  84704.0    85000  1747340507919  1747340513088
read      189.3    80.3    59.1    98.2   106.8   174.4   219.1   241.2   255.7   271.1   289.9   316.5   373.0   491.2  1735.4  89844.7    90000  1747340514591  1747340519760
read      190.2    83.3    54.7    98.9   107.6   173.8   218.9   242.3   257.6   273.5   292.8   319.8   382.7   516.8  2454.0  94946.4    95000  1747340521263  1747340526433
read      189.5   104.5    59.1    99.1   107.8   171.9   215.5   239.7   255.9   272.5   292.0   319.0   378.0   524.8  3325.5 100223.4   100000  1747340527936  1747340533102
read      190.7    79.7    59.1    98.8   107.6   173.2   218.1   243.0   259.6   276.5   296.5   325.7   388.5   507.6  1303.6 104826.2   105000  1747340534605  1747340539772
read      188.3    87.8    59.1    98.7   107.3   170.1   212.7   237.9   255.2   273.0   293.5   321.7   384.1   493.5  1937.2 109960.4   110000  1747340541275  1747340546444
read      185.7    79.3    54.7    98.1   106.7   167.4   208.2   233.6   251.3   269.7   290.8   318.9   379.7   521.9  1567.8 115025.0   115000  1747340547947  1747340553115
read      186.8    77.1    59.1    99.2   108.0   168.2   207.8   233.1   251.3   270.7   293.0   323.4   391.4   536.1  1059.7 119990.6   120000  1747340554618  1747340559788
read      190.9    90.5    59.1   100.4   109.6   171.9   213.2   238.4   256.6   275.5   297.6   329.5   397.8   552.5  2338.4 124793.4   125000  1747340561292  1747340566461
read      186.4    83.4    59.1    99.7   108.7   167.4   205.4   230.6   249.2   269.5   292.5   323.0   388.3   530.3  2349.7 130073.2   130000  1747340567963  1747340573130
read      185.1    81.3    59.1   100.4   109.6   167.3   202.6   226.6   244.4   265.0   288.7   319.7   385.7   505.1  2032.9 134773.0   135000  1747340574633  1747340579803
read      184.2    87.2    54.7   101.3   110.2   166.7   200.5   223.3   240.4   261.0   284.8   316.6   382.8   532.1  1698.1 140231.4   140000  1747340581306  1747340586474
read      189.2    82.8    54.7   102.2   111.8   171.4   207.3   230.6   248.3   268.6   292.3   324.6   395.6   581.7  1967.6 144849.5   145000  1747340587977  1747340593145
read      188.9    83.6    59.1   103.6   113.2   171.5   205.9   228.6   245.9   266.5   291.1   324.3   391.4   523.9  1620.9 149751.6   150000  1747340594648  1747340599816
read      186.5    91.0    59.1   102.2   111.5   168.2   201.5   223.7   240.3   261.2   286.8   322.6   401.5   584.6  2949.3 154804.0   155000  1747340601319  1747340606488
read      190.7    78.5    54.7   105.4   115.4   174.0   207.4   228.9   245.6   265.6   290.3   324.6   398.1   571.6  1521.9 160274.5   160000  1747340607991  1747340613159
read      189.1    72.7    54.7   106.3   116.5   173.8   205.2   225.6   241.0   260.5   284.8   318.7   387.0   528.8  1225.1 164889.4   165000  1747340614662  1747340619830
read      199.8    91.9    59.1   111.1   122.4   184.8   218.0   238.3   254.1   272.9   296.4   331.9   404.2   577.4  2381.9 169869.7   170000  1747340621333  1747340626501
read      192.0    89.5    59.1   109.4   119.7   177.6   207.9   227.0   241.5   259.9   283.4   317.2   389.5   577.6  2728.3 174985.8   175000  1747340628003  1747340633172
read      202.5    74.4    59.1   114.5   127.5   189.8   220.9   239.5   254.1   271.8   294.5   329.7   403.5   564.6  1334.3 180243.2   180000  1747340634675  1747340639844
read      193.5    87.6    59.1   111.0   122.1   180.5   209.5   227.2   240.6   257.7   280.2   314.8   391.9   585.8  2558.7 185123.8   185000  1747340641347  1747340646516
read      197.5    75.5    63.8   113.2   125.5   185.9   214.9   232.0   245.4   261.8   283.4   316.8   391.8   588.1  1701.4 189785.8   190000  1747340648018  1747340653188
read      207.6    77.5    59.1   119.7   133.1   196.7   225.9   243.0   255.8   272.0   293.4   328.5   412.6   610.2  2347.4 194966.8   195000  1747340654690  1747340659861
read      210.3    90.9    59.1   116.1   129.5   197.5   230.4   250.0   264.7   282.2   305.6   342.3   426.7   639.3  2263.0 200094.8   200000  1747340661364  1747340666533
read      227.9    93.1    63.8   125.8   140.5   214.5   250.6   272.0   288.1   307.1   331.8   370.0   451.9   645.5  2703.2 204568.1   205000  1747340668036  1747340673205
read      255.9    94.0    63.8   143.0   161.4   242.0   277.3   299.0   315.9   337.2   366.0   412.8   524.6   783.0  1962.5 206812.9   210000  1747340674708  1747340679877
read      320.9   127.9    68.9   176.8   202.1   305.1   347.5   373.7   394.3   419.3   453.1   507.7   663.5  1015.4  3787.8 197989.1   215000  1747340681379  1747340686548
read      251.8    83.2    63.8   150.6   168.8   244.3   273.7   290.7   303.1   317.9   339.4   373.8   469.7   684.2  2002.1 218736.8   220000  1747340688051  1747340693220
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 55.87%,1.00%,100.00%
Timestamp end: 1747340695005
