Timestamp start: 1747340043173
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      195.4    91.5    59.1   111.4   122.9   182.7   211.9   229.4   242.9   259.7   281.8   316.5   396.1   611.2  2951.3 189868.8   190000  1747340291563  1747340296732
read      208.5    78.9    59.1   119.7   132.9   197.1   227.0   244.7   258.1   274.2   295.9   331.7   416.6   641.2  1870.1 194993.2   195000  1747340298235  1747340303404
read      216.2    75.2    59.1   127.3   141.4   207.0   234.4   251.2   263.9   278.6   299.0   334.5   422.6   665.9  1587.0 199998.3   200000  1747340304907  1747340310077
read      242.9    97.8    63.8   139.7   156.9   232.6   264.2   282.1   295.1   312.3   335.1   372.7   475.5   843.1  2601.0 204727.4   205000  1747340311581  1747340316748
read      215.3    87.8    59.1   123.2   137.6   202.9   232.6   250.6   264.4   281.0   303.9   341.9   440.5   833.5  2442.3 209994.2   210000  1747340318252  1747340323419
read      270.1   101.1    59.1   152.5   171.2   259.1   298.4   320.2   336.9   356.2   380.9   420.7   505.8   682.7  3277.9 212460.7   215000  1747340324922  1747340330092
read      235.3    77.8    63.8   144.2   161.3   228.1   254.1   269.4   280.6   294.3   313.9   345.4   435.0   690.1  1565.0 220118.8   220000  1747340331595  1747340336764
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 55.28%,0.50%,100.00%
Timestamp end: 1747340338571
