Timestamp start: 1747339724160
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      186.4    60.3    68.9   115.5   129.7   186.8   203.3   212.5   218.2   226.6   235.2   251.7   293.1   435.5  1554.7   5037.8     5000  1747339725666  1747339730883
read      191.0    81.5    63.8   115.3   131.6   190.9   207.4   216.1   222.8   230.4   240.0   255.0   293.0   507.5  3118.2   9904.8    10000  1747339732385  1747339737596
read      194.7    63.4    68.9   112.8   127.8   191.9   210.9   221.7   229.9   239.7   253.6   279.0   349.5   567.6  2333.7  14955.8    15000  1747339739099  1747339744282
read      198.3    70.5    68.9   113.4   127.7   197.3   217.3   228.5   235.7   246.6   259.6   281.1   335.5   541.9  2600.5  19974.0    20000  1747339745784  1747339750967
read      200.8    63.2    63.8   112.0   125.4   202.7   223.7   234.2   242.9   252.3   265.9   286.8   336.7   462.6  1684.0  24962.4    25000  1747339752470  1747339757654
read      202.0    68.3    63.8   111.5   124.2   202.7   226.7   238.7   247.9   258.0   271.3   291.9   339.9   488.2  2454.5  29918.0    30000  1747339759157  1747339764340
read      203.0    65.1    63.8   110.2   121.9   204.6   230.4   243.6   252.6   264.0   276.7   298.2   349.5   476.0  1299.6  35062.5    35000  1747339765843  1747339771034
read      207.2    75.9    63.8   107.7   119.4   208.0   236.1   250.6   260.9   272.4   288.3   312.0   372.6   547.6  2711.1  39839.6    40000  1747339772536  1747339777719
read      206.8    95.6    63.8   106.8   118.0   206.1   236.7   252.2   263.1   274.5   290.6   314.7   374.6   632.2  2287.7  45000.2    45000  1747339779222  1747339784405
read      204.0    75.0    63.8   106.3   117.1   203.1   235.2   251.1   262.0   273.6   289.5   313.0   366.8   499.9  2374.7  50012.0    50000  1747339785909  1747339791093
read      200.7    70.0    59.1   103.2   113.4   199.0   233.5   250.0   261.2   273.2   289.6   313.9   370.6   486.4   955.5  55039.6    55000  1747339792595  1747339797777
read      206.8    90.4    59.1   102.4   112.6   202.2   240.1   258.4   270.5   284.9   302.8   332.9   408.7   691.3  2364.4  60062.2    60000  1747339799280  1747339804467
read      205.4    81.3    63.8   102.9   113.2   198.0   241.0   260.9   273.5   288.3   306.1   332.8   391.3   519.4  1412.5  65158.6    65000  1747339805970  1747339811153
read      200.0    84.6    59.1   101.7   111.4   191.3   232.9   252.3   265.4   279.6   296.5   323.3   389.5   524.3  2803.8  70159.0    70000  1747339812656  1747339817840
read      198.4    79.4    59.1   101.6   110.9   186.9   230.6   251.6   265.5   280.6   298.8   327.9   393.7   516.0  1039.8  74974.6    75000  1747339819343  1747339824526
read      199.4    85.5    59.1    99.9   109.6   188.3   232.9   254.1   268.0   283.4   301.7   330.1   393.9   521.7  1188.4  80007.1    80000  1747339826029  1747339831211
read      196.8    79.4    54.7   100.1   109.3   183.3   229.5   252.0   266.5   282.1   300.2   328.4   392.3   511.0  1303.8  85234.0    85000  1747339832714  1747339837903
read      199.3    95.7    59.1   100.2   109.7   182.9   229.1   252.5   267.8   284.4   304.2   335.3   414.9   889.2  2350.8  89983.6    90000  1747339839405  1747339844591
read      196.6    92.5    59.1   100.4   109.6   179.9   225.7   250.2   265.9   282.9   303.0   332.8   399.4   580.3  2522.8  94978.2    95000  1747339846094  1747339851276
read      194.1    78.4    59.1    99.8   109.1   177.4   222.8   247.4   263.6   280.7   300.5   330.0   394.8   529.0  1028.1  99970.6   100000  1747339852779  1747339857963
read      197.1    89.8    54.7    99.6   109.1   178.6   223.7   248.9   265.9   284.5   307.0   341.4   427.4   684.4  2490.8 105106.2   105000  1747339859465  1747339864650
read      193.8    85.0    54.7    99.9   109.2   175.4   218.7   244.1   261.4   279.8   301.6   334.6   408.0   588.9  1549.4 110137.8   110000  1747339866153  1747339871337
read      194.3    89.4    54.7    99.7   109.2   175.1   219.2   244.6   262.3   281.4   304.1   337.4   411.5   580.7  2803.9 114968.7   115000  1747339872841  1747339878024
read      192.3    99.3    59.1   100.4   109.6   172.5   213.9   239.3   257.6   277.2   300.3   334.5   409.2   582.7  2852.1 120115.8   120000  1747339879526  1747339884710
read      189.8    81.8    59.1   100.5   109.6   170.3   210.0   235.0   253.9   274.2   297.5   331.7   403.3   577.0  1538.0 125220.6   125000  1747339886213  1747339891396
read      187.1    79.7    54.7   100.2   109.3   168.2   205.2   229.6   247.7   268.3   292.4   326.6   401.6   590.3  1356.0 129884.8   130000  1747339892898  1747339898085
read      195.0   101.5    59.1   102.0   111.7   174.7   214.1   238.6   257.5   278.3   302.9   338.5   423.9   829.8  2836.2 135061.7   135000  1747339899589  1747339904773
read      189.3    90.9    59.1   101.8   111.2   170.8   207.0   230.2   247.8   268.3   292.7   328.2   407.4   634.8  1807.3 139879.6   140000  1747339906276  1747339911459
