Timestamp start: 1747124156218
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      204.4    87.4    54.7   101.9   116.4   205.1   225.2   235.1   244.2   253.8   268.5   290.6   380.0   973.2  3113.7   4970.0     5000  1747124157724  1747124162925
read      217.5   109.1    63.8   111.7   135.5   216.9   236.9   249.0   257.2   268.0   281.7   305.6   381.7   932.9  3924.2   9955.0    10000  1747124164428  1747124169626
read      223.5    82.3    63.8   116.7   138.6   223.7   246.7   259.6   269.3   280.7   295.1   318.3   389.0   590.8  4140.6  15033.8    15000  1747124171129  1747124176296
read      218.8    80.0    59.1   115.0   132.7   217.6   241.5   254.6   265.6   277.4   294.3   320.6   401.2   592.0  2903.0  20049.2    20000  1747124177800  1747124182968
read      230.5    93.7    59.1   116.6   133.2   230.1   258.1   273.3   284.9   297.1   315.9   345.2   425.4   546.5  2536.9  24994.2    25000  1747124184472  1747124189642
read      229.1    91.7    63.8   113.7   128.4   228.8   259.8   275.6   288.0   301.7   319.7   352.5   428.5   587.8  3584.3  29971.9    30000  1747124191145  1747124196313
read      235.4    93.4    63.8   114.4   128.3   233.9   268.4   286.7   299.6   316.2   338.7   374.2   454.2   616.5  2516.2  34956.4    35000  1747124197816  1747124202983
read      230.7    93.2    63.8   112.7   125.4   227.2   263.8   283.1   297.0   315.2   339.1   374.5   455.6   588.3  1888.6  39858.4    40000  1747124204487  1747124209655
read      229.8   100.2    59.1   111.2   123.0   224.5   263.7   283.7   297.9   316.2   340.8   380.7   462.9   640.6  2818.7  44990.6    45000  1747124211159  1747124216325
read      225.8    94.2    59.1   110.0   120.7   218.7   259.5   280.1   295.8   315.3   340.3   380.4   466.6   660.9  2092.3  49958.0    50000  1747124217828  1747124222998
read      224.6    92.1    63.8   109.8   120.2   215.2   258.5   280.2   296.1   316.3   342.7   384.7   464.5   598.8  1772.8  54858.2    55000  1747124224502  1747124229668
read      230.2   117.5    63.8   110.3   121.0   217.0   263.8   288.2   306.8   329.4   358.7   401.9   484.4   631.2  3318.8  59979.8    60000  1747124231172  1747124236340
read      226.0   101.1    59.1   108.1   118.5   211.7   257.7   281.8   300.1   322.9   354.1   400.5   495.6   700.4  2285.2  65087.2    65000  1747124237843  1747124243015
read      277.1   232.4    63.8   112.4   125.3   229.9   285.2   319.9   348.9   387.9   443.3   557.9  1167.2  2543.1  5403.3  69978.4    70000  1747124244519  1747124249687
read      245.9   127.5    63.8   110.8   122.7   223.7   276.0   309.6   335.7   366.1   402.7   455.2   563.9   792.5  3850.9  74926.7    75000  1747124251191  1747124256361
read      243.0   117.8    63.8   110.4   122.1   221.0   272.7   304.6   329.9   360.2   397.4   450.3   555.2   848.5  2644.8  79970.6    80000  1747124257865  1747124263033
read      241.2   124.8    63.8   110.2   121.7   217.5   269.3   301.4   327.2   357.7   395.9   452.0   577.2   837.4  1812.6  85149.7    85000  1747124264536  1747124269705
read      245.4   119.1    63.8   110.7   122.8   221.1   273.2   306.9   332.5   363.5   402.0   458.7   600.6   914.5  1681.7  89989.7    90000  1747124271209  1747124276380
