#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      191.1   103.3    68.9   110.5   121.3   176.5   205.4   222.7   234.4   248.6   265.8   291.9   406.0  1403.6  3442.9  29924.8    30000  1746631792936  1746631803061
read      212.6   215.6    68.9   109.1   120.6   179.2   208.3   226.2   239.0   254.3   274.1   319.3  1032.8  3276.5  5746.4  29926.5    30005  1746631804571  1746631814689
read      238.6   593.7    74.4   105.7   116.9   173.0   202.6   223.1   239.0   262.4   320.9   635.8  1207.9  2412.3 37453.6  30030.6    30010  1746631816199  1746631826294
read      200.3   187.1    74.4   109.7   120.2   175.7   202.9   219.2   231.0   245.0   262.7   291.6   897.3  2326.5  6341.5  29999.8    30015  1746631827802  1746631837899
read      184.0    77.2    68.9   109.0   120.7   175.9   201.3   216.6   227.5   239.5   254.2   275.0   319.7   546.6  2995.7  29937.7    30020  1746631839408  1746631849503
read      183.0    75.9    68.9   108.0   119.3   174.5   200.6   216.3   227.5   239.7   254.5   274.9   318.4   503.8  3194.6  29985.2    30025  1746631851011  1746631861103
read      178.2    70.5    74.4   109.4   119.1   170.0   194.7   208.9   218.9   230.8   245.5   266.4   309.5   550.1  2372.2  30040.3    30030  1746631862612  1746631872708
read      179.8    82.4    74.4   108.2   118.5   170.6   196.0   211.2   222.0   234.0   249.5   270.4   313.9   684.6  3205.9  30085.1    30035  1746631874218  1746631884311
read      181.0   130.4    68.9   105.4   118.2   172.5   196.1   209.4   218.6   229.8   243.6   263.9   303.5  1222.1  6384.5  30046.2    30040  1746631885820  1746631895921
read      177.2    60.2    63.8   106.3   118.9   171.2   193.9   206.9   216.5   227.9   241.7   262.5   302.1   412.8  1922.6  30029.1    30045  1746631897429  1746631907532
read      181.1    74.1    68.9   107.2   118.9   173.0   198.9   213.9   224.5   235.8   251.0   271.7   314.8   489.8  3135.2  30052.1    30050  1746631909040  1746631919137
read      178.6    78.0    74.4   109.7   120.1   170.9   194.2   207.5   217.2   229.0   243.1   263.8   305.9   762.4  2937.7  29988.2    30055  1746631920645  1746631930738
read      181.0   125.2    74.4   108.7   118.6   169.5   194.9   210.0   220.6   232.6   247.5   268.5   313.6  1657.4  5744.7  30049.5    30060  1746631932246  1746631942340
read      178.4    81.7    68.9   106.6   117.4   169.4   195.1   210.3   221.0   233.0   248.1   269.3   311.8   582.0  3096.9  30083.9    30065  1746631943848  1746631953945
read      177.2    68.2    68.9   108.7   118.6   169.3   193.8   208.1   218.1   230.0   244.4   265.1   306.2   511.6  2771.6  29993.1    30070  1746631955452  1746631965548
read      178.1    76.5    74.4   107.2   118.3   170.2   194.1   208.0   217.9   229.8   244.6   266.2   311.2   518.6  3085.6  30121.5    30075  1746631967057  1746631977151
