Timestamp start: 1747266916540
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      201.9   127.7    80.4   130.6   139.9   188.2   211.7   225.4   235.1   248.8   267.0   297.3   397.4  1139.7  7643.5   4932.6     5000  1747266918049  1747266923300
read      217.5   296.6    74.4   130.3   142.4   201.0   225.0   237.6   248.3   260.8   276.7   305.1   383.7  5330.3 11516.0  10003.8    10000  1747266924806  1747266930050
read      217.2   176.3    74.4   127.3   141.7   208.5   233.8   248.7   259.4   271.7   289.1   316.9   392.8   968.7 10089.8  14859.4    15000  1747266931555  1747266936752
read      227.7   261.9    74.4   123.4   139.3   215.7   244.1   260.1   271.6   286.3   305.2   338.6   427.8  1071.2 12296.7  20118.0    20000  1747266938256  1747266943455
read      228.4   209.1    74.4   120.0   135.2   220.4   250.3   267.0   278.8   293.3   312.8   344.6   428.7   969.7 11406.4  24955.4    25000  1747266944959  1747266950156
read      224.1   103.5    68.9   115.7   130.5   221.0   252.5   269.2   281.1   294.7   313.2   343.5   422.2   587.8  3914.7  30161.8    30000  1747266951660  1747266956856
read      227.6    83.8    68.9   113.9   128.0   224.9   259.4   276.9   289.7   304.6   323.7   360.2   444.2   660.3  1675.7  34905.2    35000  1747266958361  1747266963559
read      221.7    81.5    68.9   111.4   124.3   218.6   253.8   271.9   285.4   300.5   319.9   353.9   428.8   565.6  1465.8  39915.2    40000  1747266965063  1747266970264
read      226.3   121.2    63.8   110.3   122.8   222.9   262.4   281.4   294.3   310.1   330.2   363.9   436.0   569.2  2282.1  45063.7    45000  1747266971768  1747266976966
read      228.8   196.1    68.9   108.1   120.2   221.8   262.6   282.3   295.8   312.6   334.5   370.3   461.8   825.2 11517.1  49927.0    50000  1747266978471  1747266983674
read      220.9    87.9    68.9   107.7   119.1   215.2   257.8   278.1   292.3   308.8   329.8   364.5   434.7   562.3   788.1  54923.0    55000  1747266985178  1747266990375
read      219.9    89.6    63.8   105.1   116.3   210.9   257.9   279.8   294.7   312.2   334.5   369.5   445.6   635.0  1202.5  60153.2    60000  1747266991880  1747266997077
read      219.1    90.1    63.8   102.1   113.3   209.1   259.1   281.7   296.7   314.3   337.2   372.7   451.0   610.0  1234.7  65140.6    65000  1747266998581  1747267003781
read      217.1    92.1    68.9   104.1   114.9   204.2   255.0   278.6   294.2   311.8   333.9   368.6   442.6   598.2  1849.2  70000.1    70000  1747267005285  1747267010483
read      217.2   102.1    68.9   103.0   113.7   202.0   255.3   279.8   296.0   314.2   337.7   373.3   454.2   625.9  2521.3  74937.6    75000  1747267011987  1747267017184
read      214.0    96.6    63.8   102.8   113.1   196.6   249.7   275.6   292.8   312.0   336.1   371.6   448.6   594.4  1858.0  80005.3    80000  1747267018688  1747267023887
read      215.2    91.7    63.8   102.7   113.3   197.5   251.8   277.9   295.0   314.3   339.4   376.8   454.5   594.1   980.7  85179.6    85000  1747267025392  1747267030587
read      213.1    96.0    68.9   102.9   113.1   192.7   246.8   274.5   292.6   312.7   338.0   375.7   456.3   641.9  2171.9  90147.0    90000  1747267032091  1747267037289
read      215.9   116.0    68.9   102.9   113.1   191.4   245.3   274.6   293.8   314.8   341.4   383.5   490.2  1356.9  2978.1  95031.6    95000  1747267038793  1747267043996
read      213.4    95.9    63.8   102.0   112.5   192.8   247.0   275.8   294.5   314.7   340.1   378.0   459.5   597.5  2096.1 100179.6   100000  1747267045500  1747267050699
read      207.4    91.0    63.8   102.8   112.6   185.0   235.1   265.0   284.7   306.0   331.8   370.7   451.8   617.9  1445.7 104927.1   105000  1747267052203  1747267057406
read      212.6    94.9    63.8   104.0   114.5   190.4   241.5   271.0   290.5   311.8   338.4   378.3   465.6   706.8  1825.5 110113.3   110000  1747267058910  1747267064104
read      208.1    91.9    68.9   103.7   113.9   185.4   233.9   264.1   284.4   306.6   333.5   372.7   455.8   611.2  1206.8 114984.1   115000  1747267065608  1747267070806
read      215.1   124.4    63.8   105.4   116.1   190.9   240.0   269.9   290.7   313.7   342.4   387.1   479.7   822.8  3161.8 119880.9   120000  1747267072310  1747267077514
read      214.2    97.3    68.9   107.0   117.9   191.4   238.8   268.4   288.8   311.5   339.4   381.8   476.3   765.2  2263.5 124754.8   125000  1747267079019  1747267084216
