Timestamp start: 1747338784936
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      168.9    63.8    63.8    96.3   106.6   169.4   184.7   193.6   199.9   208.3   218.3   237.0   286.8   410.1  2013.5   4928.2     5000  1747338786444  1747338791646
read      179.5    57.8    68.9   103.6   117.3   178.1   194.9   204.1   211.8   219.9   232.1   252.5   307.4   483.0  2035.3  10039.2    10000  1747338793148  1747338798344
read      190.2    55.8    63.8   105.5   119.7   189.9   209.1   219.3   227.6   235.9   250.7   272.9   331.6   483.1  1122.3  15007.6    15000  1747338799847  1747338805021
read      198.9    99.4    59.1   106.1   119.3   197.7   220.1   232.2   241.5   252.4   267.5   291.2   353.9   559.3  4168.6  20041.6    20000  1747338806524  1747338811693
read      197.1    80.6    63.8   104.7   116.3   197.3   221.9   234.1   243.7   253.9   268.6   290.4   340.4   486.1  3055.7  24948.0    25000  1747338813195  1747338818368
read      206.2    78.4    54.7   106.1   117.6   206.3   234.5   249.3   259.7   271.6   287.5   311.6   368.1   525.8  2667.4  30060.5    30000  1747338819870  1747338825042
read      211.1    89.4    63.8   104.4   115.6   211.9   243.4   259.5   270.5   283.5   298.6   322.0   383.3   555.1  2896.8  34928.0    35000  1747338826545  1747338831713
read      205.5    78.9    59.1   102.3   112.6   203.6   237.7   254.8   266.7   279.8   295.9   320.7   384.4   514.2  2428.1  40084.2    40000  1747338833216  1747338838387
read      207.8    77.5    63.8   102.8   113.0   203.7   241.5   260.4   272.7   287.3   305.2   334.0   400.7   547.5  1445.3  44934.4    45000  1747338839889  1747338845056
read      208.8    92.4    59.1   101.3   111.3   203.4   243.4   263.0   275.6   290.7   309.2   338.1   402.5   580.0  2931.3  49764.8    50000  1747338846560  1747338851727
read      209.6    88.6    59.1   101.9   111.8   201.2   244.3   265.7   279.7   295.2   315.1   345.0   416.5   588.9  2308.8  54941.5    55000  1747338853230  1747338858396
read      209.2    90.3    59.1   100.0   110.0   200.0   244.4   266.9   281.8   298.0   318.3   350.0   423.6   574.8  1966.8  59856.0    60000  1747338859899  1747338865066
read      208.8    90.8    54.7    99.2   109.1   198.0   244.4   268.2   283.9   300.9   320.8   353.4   427.0   585.7  1704.1  65257.6    65000  1747338866568  1747338871739
