Timestamp start: 1747338203503
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      185.1    75.2    63.8   106.5   119.2   181.5   199.8   210.6   217.9   228.5   241.6   265.2   337.7  1064.4  3033.6   4976.8     5000  1747338205010  1747338210227
read      196.3    66.2    59.1   113.0   130.5   194.5   214.4   225.5   233.0   243.2   255.2   275.3   334.5   530.5  3113.6   9980.2    10000  1747338211731  1747338216942
read      205.2    76.4    68.9   114.8   131.8   204.5   225.7   236.4   245.7   255.0   269.0   290.0   337.1   522.0  3362.3  14979.4    15000  1747338218445  1747338223629
read      205.2    66.0    63.8   111.2   125.8   204.7   228.4   241.0   250.5   261.9   275.3   297.8   358.2   553.5  1276.5  20066.4    20000  1747338225132  1747338230314
read      214.6    79.2    63.8   109.6   123.5   215.3   242.1   256.2   266.5   277.6   293.1   316.9   373.5   581.6  2757.5  24927.4    25000  1747338231817  1747338237001
read      206.4    69.5    63.8   106.1   117.4   205.9   234.1   249.4   260.1   272.3   289.2   315.4   381.9   548.6  1144.3  30005.4    30000  1747338238504  1747338243685
read      210.7    84.4    63.8   106.2   117.5   209.3   241.7   257.9   269.2   282.4   298.4   324.9   388.7   562.4  1815.4  35048.2    35000  1747338245188  1747338250372
read      206.9    80.2    59.1   102.8   113.6   203.7   238.9   256.5   268.6   282.6   300.0   327.6   392.8   547.0  2466.9  40082.0    40000  1747338251876  1747338257058
read      208.0    81.4    63.8   103.2   113.9   203.7   241.7   260.9   273.3   288.0   305.7   332.7   391.0   506.2  1448.1  45067.0    45000  1747338258561  1747338263744
read      213.4    99.0    59.1   102.2   112.7   207.3   248.3   268.2   281.8   296.7   316.3   345.9   418.5   676.9  3144.1  49888.3    50000  1747338265246  1747338270428
read      210.3    85.1    59.1   100.8   111.3   202.2   246.6   268.2   282.7   298.8   318.4   348.6   414.6   542.2  1197.8  55020.0    55000  1747338271931  1747338277117
read      215.0   103.0    54.7   100.5   111.0   204.1   251.2   274.1   289.7   306.9   327.5   361.4   435.4  1019.7  2771.6  59944.4    60000  1747338278619  1747338283801
read      213.6    96.6    59.1   100.7   111.2   200.7   249.0   273.8   290.5   309.0   331.8   366.8   439.3   583.5  1909.8  65051.9    65000  1747338285304  1747338290488
read      209.6    93.2    59.1    99.6   109.8   195.1   242.7   268.6   285.9   304.8   327.5   362.9   434.8   565.6  1956.7  70060.8    70000  1747338291991  1747338297175
read      220.1   106.2    54.7   101.0   111.7   202.3   253.5   280.8   299.2   319.5   346.0   387.9   499.5   912.4  2322.1  75050.0    75000  1747338298678  1747338303861
read      215.2   112.1    54.7    99.8   110.2   197.9   248.7   276.7   295.8   316.4   342.2   379.0   457.7   629.5  3230.9  80021.6    80000  1747338305364  1747338310548
read      211.2    99.3    54.7    99.1   109.2   193.5   243.1   271.2   290.5   311.6   337.6   375.3   458.2   585.1  1393.9  84886.7    85000  1747338312051  1747338317235
read      217.5   107.4    59.1   100.1   110.7   198.5   250.6   279.9   299.7   321.3   348.5   389.8   477.5   663.8  2448.3  89963.4    90000  1747338318738  1747338323922
read      215.5   103.4    59.1   100.4   110.7   194.6   245.9   276.7   297.4   320.3   349.3   391.4   480.5   629.3  1895.0  95040.1    95000  1747338325425  1747338330614
read      212.0    95.5    59.1    99.7   110.1   190.7   241.0   271.8   293.0   316.3   344.3   386.8   472.5   604.0   981.4  99924.6   100000  1747338332117  1747338337300
read      230.5   143.9    59.1   102.3   113.3   202.4   258.9   293.2   316.9   344.0   377.4   428.0   546.9  1729.7  4142.9 104807.2   105000  1747338338803  1747338343987
read      225.3   112.6    54.7   103.5   114.5   198.6   253.7   289.0   313.5   341.2   374.1   423.1   521.8   738.7  1867.7 110172.6   110000  1747338345491  1747338350680
read      231.1   124.9    59.1   105.2   116.7   203.2   260.1   295.7   320.6   349.5   385.0   435.2   540.1   763.1  2406.1 115125.8   115000  1747338352183  1747338357368
read      229.6   112.5    59.1   104.5   116.0   201.0   256.7   293.2   319.4   349.3   385.8   437.3   545.0   742.2  1283.5 120006.0   120000  1747338358871  1747338364057
read      233.2   119.6    54.7   106.5   118.2   201.1   257.8   297.1   326.0   358.6   396.8   453.1   560.9   741.5  1872.6 124854.2   125000  1747338365561  1747338370749
read      251.2   144.2    59.1   110.2   122.6   209.8   272.1   318.8   353.8   392.9   439.5   508.8   669.9   934.8  4085.7 130099.5   130000  1747338372252  1747338377438
read      258.3   146.4    59.1   112.7   125.4   209.7   274.8   329.1   369.3   412.6   463.2   540.2   731.2  1004.4  1432.8 135003.0   135000  1747338378941  1747338384126
read      245.0   154.0    59.1   108.4   119.5   194.2   253.6   307.8   349.6   394.8   446.1   518.6   711.5  1206.7  2838.5 139743.9   140000  1747338385629  1747338390818
read      326.1   304.7    63.8   121.8   136.2   205.5   261.2   356.8   445.8   546.1   693.5   987.2  1460.1  2378.6  4615.1 145239.6   145000  1747338392320  1747338397506
read      436.5   543.8    74.4   144.6   163.3   224.3   253.0   282.2   352.4   967.1  1315.2  1477.8  2771.4  3680.2  7875.5 143964.3   150000  1747338399009  1747338404193
read      410.3   512.2    63.8   134.5   149.8   213.8   249.2   283.7   372.4   815.3  1225.4  1426.3  2637.8  3487.8  7917.5 148833.0   155000  1747338405696  1747338410881
read      458.5   620.3    68.9   148.2   170.1   232.4   262.7   289.8   336.6   913.0  1332.8  1537.3  3280.1  5077.5  8060.1 142172.2   160000  1747338412384  1747338417568
read      444.8   600.4    68.9   142.2   160.6   228.2   263.9   296.2   372.7   792.9  1284.4  1498.0  3200.9  5097.7  8056.4 146052.5   165000  1747338419071  1747338424254
read      460.6   629.6    63.8   148.8   169.6   233.1   264.8   292.8   341.0   910.7  1329.8  1534.0  3300.2  5438.8  8091.2 141720.0   170000  1747338425757  1747338430940
read      432.3   588.2    74.4   145.4   162.4   219.8   249.6   276.1   326.5   762.5  1285.9  1489.8  3169.6  4576.3  8036.2 150684.4   175000  1747338432443  1747338437626
read      444.7   596.1    74.4   145.8   164.4   227.3   256.6   284.3   331.7   851.2  1314.6  1514.6  3154.9  4677.1  7998.9 146558.1   180000  1747338439130  1747338444313
read      446.0   634.7    63.8   146.7   166.2   224.8   254.4   288.0   358.5   691.7  1242.7  1501.3  3341.3  5377.2  8083.1 146440.2   185000  1747338445817  1747338451004
read      461.8   638.9    63.8   145.6   166.5   232.4   267.1   294.8   335.7   965.2  1340.5  1541.6  3326.6  5390.8  8082.3 141325.9   190000  1747338452508  1747338457693
read      454.9   591.5    59.1   147.1   166.7   232.6   267.6   305.3   417.7   893.1  1311.6  1504.0  3108.5  4930.0  8022.8 143299.1   195000  1747338459196  1747338464380
read      426.8   564.8    63.8   150.7   165.4   215.6   241.7   267.5   315.6   868.3  1301.4  1453.5  3041.7  4431.0  8026.5 152287.0   200000  1747338465883  1747338471070
read      455.3   650.6    74.4   144.3   166.5   230.3   257.6   280.5   312.2   715.9  1326.9  1561.3  3349.3  5438.3  8054.8 143573.7   205000  1747338472573  1747338477757
read      465.6   629.0    74.4   144.8   168.3   236.5   269.3   301.1   374.6   881.3  1324.0  1545.3  3323.7  5194.2  8036.7 140229.5   210000  1747338479259  1747338484444
read      448.2   590.2    63.8   148.1   166.9   227.4   258.6   287.9   342.1   963.9  1326.4  1498.6  3162.1  4699.3  8044.5 145321.6   215000  1747338485947  1747338491132
read      446.7   647.6    68.9   145.9   166.1   225.4   252.1   273.6   302.2   603.5  1314.6  1562.1  3348.6  5386.2  8065.5 146278.8   220000  1747338492636  1747338497819
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 78.52%,23.12%,100.00%
Timestamp end: 1747338498918
