Timestamp start: 1747125139907
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      207.9   104.8    63.8   102.5   116.5   205.8   227.1   238.1   247.5   257.8   271.6   296.3   450.2  1000.2  3172.5   4997.4     5000  1747125141413  1747125146621
read      216.6    79.6    63.8   111.3   134.1   213.5   234.1   246.5   254.7   267.0   282.5   311.7   442.8   940.7  1994.0   9971.2    10000  1747125148125  1747125153326
read      230.6   111.6    59.1   117.5   138.4   226.1   249.2   262.5   271.7   284.6   301.6   338.3   484.2  1094.1  3291.8  15078.2    15000  1747125154828  1747125159998
read      236.4    98.7    59.1   117.7   137.3   232.3   258.7   273.0   285.0   298.3   318.5   360.1   489.7   928.9  3920.5  20004.0    20000  1747125161503  1747125166675
read      241.0    85.4    54.7   120.5   138.0   239.4   268.6   285.0   296.8   313.2   334.8   372.3   468.2   612.9  2000.0  24975.6    25000  1747125168180  1747125173352
read      239.4    89.7    59.1   116.1   131.7   237.2   268.7   286.3   299.0   315.9   339.4   381.0   477.6   722.9  2396.7  30017.2    30000  1747125174855  1747125180027
read      239.7    93.6    59.1   115.0   129.7   234.9   269.4   289.0   304.0   321.9   348.2   397.2   499.0   691.6  1204.2  35006.0    35000  1747125181531  1747125186700
read      243.5   111.9    54.7   114.5   128.6   237.0   274.1   295.2   311.6   331.9   361.0   411.2   517.6   847.7  1835.4  39962.6    40000  1747125188204  1747125193376
read      236.5   133.5    59.1   112.0   124.5   228.4   267.6   288.8   304.9   324.2   351.2   397.6   500.7   807.6  4347.6  44916.2    45000  1747125194879  1747125200053
read      237.6   129.6    59.1   112.0   124.1   227.9   270.7   293.9   311.5   332.6   360.5   404.4   503.2   720.5  6379.9  50036.2    50000  1747125201555  1747125206728
read      227.8    93.0    54.7   109.7   120.7   218.7   262.1   284.4   301.3   321.0   347.4   391.5   480.3   604.8  1151.1  55091.6    55000  1747125208231  1747125213402
read      232.8   117.7    54.7   109.4   120.6   217.3   262.7   287.0   305.9   329.3   362.0   416.7   527.8   909.1  3801.8  60104.3    60000  1747125214907  1747125220079
read      240.8   127.0    63.8   111.5   123.5   222.4   271.5   299.5   321.1   347.4   382.2   436.0   541.4   864.6  3543.8  64860.2    65000  1747125221583  1747125226756
read      229.0   102.8    59.1   108.7   119.6   212.1   259.9   285.7   306.0   331.1   363.8   411.2   501.8   706.8  2462.5  69919.0    70000  1747125228259  1747125233431
read      228.4   106.7    68.9   107.7   118.4   210.1   257.9   283.7   304.1   329.3   362.7   413.9   518.3   829.0  2626.4  74909.6    75000  1747125234934  1747125240109
read      230.2   105.2    59.1   108.7   119.6   211.2   259.5   286.5   308.5   335.2   369.3   421.8   515.0   707.9  2458.1  80064.6    80000  1747125241613  1747125246786
read      227.2   102.1    63.8   107.5   118.1   207.6   255.4   282.4   304.8   332.2   366.6   419.0   513.3   710.6  1508.2  85047.7    85000  1747125248290  1747125253461
read      234.2   123.9    63.8   109.2   120.1   212.3   260.6   289.3   312.4   340.5   377.9   434.4   544.3   935.2  3037.2  90063.9    90000  1747125254964  1747125260140
read      233.2   114.4    59.1   109.1   120.4   211.7   259.7   288.5   311.5   339.7   375.9   431.2   538.8   961.4  2059.0  94908.4    95000  1747125261643  1747125266816
read      235.1   119.2    63.8   109.1   120.6   211.5   260.3   290.1   313.8   342.3   379.9   438.0   562.5  1003.6  2714.6 100047.0   100000  1747125268320  1747125273492
read      233.9   112.9    68.9   110.2   121.9   211.4   259.5   289.3   313.1   341.2   377.4   432.7   543.7   824.7  2659.7 104947.8   105000  1747125274995  1747125280175
read      231.0   111.3    59.1   111.1   122.7   208.7   255.8   285.3   308.6   336.2   370.9   424.3   530.9   796.2  2292.8 109771.1   110000  1747125281678  1747125286851
read      240.4   113.7    63.8   113.5   126.7   216.9   266.5   297.9   322.2   350.7   386.8   439.7   549.9   955.1  1859.4 114999.0   115000  1747125288355  1747125293530
read      241.7   110.7    59.1   116.3   130.3   219.3   268.0   299.2   322.6   350.5   385.8   436.5   537.5   788.4  2297.8 119976.4   120000  1747125295034  1747125300207
read      256.7   121.2    63.8   121.0   136.8   232.7   286.0   318.7   342.8   371.0   405.6   459.9   593.1   904.9  2185.1 124898.2   125000  1747125301710  1747125306888
read      290.3   140.7    68.9   132.6   151.3   263.8   323.4   358.7   384.8   416.7   458.6   525.8   706.9  1145.6  2470.5 130067.3   130000  1747125308390  1747125313561
read      285.8   133.2    68.9   133.3   151.9   261.6   320.1   354.3   379.4   409.8   449.9   509.5   643.5   903.8  3303.1 135023.5   135000  1747125315065  1747125320236
read      339.8   145.8    68.9   155.0   179.8   315.2   380.6   421.5   452.2   488.8   535.4   605.6   737.1   978.5  2155.4 139983.2   140000  1747125321739  1747125326914
read      355.7   153.9    80.4   171.8   198.4   328.2   398.4   442.5   473.2   508.4   550.3   610.5   716.1   921.9  4375.9 145082.2   145000  1747125328418  1747125333589
