Timestamp start: 1747125494888
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      451.3   179.8    86.8   255.7   283.1   395.7   496.9   571.1   614.2   655.9   698.9   748.0   848.7  1047.6  4307.6 142960.3   190000  1747125743462  1747125748635
read      460.4   167.7    86.8   273.8   299.0   395.4   507.1   599.7   639.4   673.2   710.1   755.8   856.9  1014.7  2828.5 140226.6   195000  1747125750139  1747125755310
read      440.3   167.2    68.9   254.0   279.4   379.2   509.8   574.7   606.9   635.8   668.9   712.8   804.0  1030.0  3333.0 146538.1   200000  1747125756814  1747125761986
read      443.8   163.7    68.9   255.6   281.3   387.6   504.2   571.8   607.2   640.0   676.6   726.2   821.7  1024.7  2511.7 145402.6   205000  1747125763490  1747125768664
read      456.4   165.1    74.4   266.7   293.2   394.2   514.1   593.0   629.2   663.5   698.3   743.7   848.0  1022.3  2277.5 141455.4   210000  1747125770168  1747125775339
read      450.1   166.1    86.8   265.1   289.5   384.0   514.1   591.8   624.2   655.7   687.2   733.8   837.6  1053.9  2980.1 143372.3   215000  1747125776843  1747125782020
read      456.4   172.9    74.4   266.5   293.2   391.9   516.8   597.0   632.4   664.7   696.9   741.5   846.0  1070.2  3944.3 141417.8   220000  1747125783524  1747125788695
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 60.25%,0.50%,100.00%
Timestamp end: 1747125790300
