Timestamp start: 1747126047219
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      215.6   224.5    63.8   106.3   123.1   209.3   229.6   240.5   249.1   259.2   272.6   296.8   407.6  3133.3  9881.5   4978.4     5000  1747126048725  1747126053933
read      220.5   111.9    63.8   116.0   140.5   219.5   240.1   252.0   261.4   272.2   288.4   314.3   378.0   894.5  2290.2   9943.4    10000  1747126055435  1747126060635
read      230.9    74.0    63.8   120.0   142.5   228.9   253.1   268.7   280.2   294.3   312.6   340.0   411.1   685.3  1848.0  15085.8    15000  1747126062138  1747126067306
read      235.2    87.0    59.1   120.4   140.4   231.7   260.0   277.3   290.0   304.5   321.4   350.9   426.3   677.3  2305.5  19977.6    20000  1747126068809  1747126073976
read      231.9    77.9    59.1   117.2   133.9   228.8   259.2   277.4   291.5   307.5   326.8   358.2   428.6   538.0  1456.3  24947.0    25000  1747126075479  1747126080647
read      230.6    94.1    59.1   114.4   128.9   226.7   259.0   278.4   292.8   309.4   330.0   363.2   440.3   588.9  2766.4  30182.5    30000  1747126082150  1747126087320
read      232.8    84.6    59.1   113.5   127.0   228.0   266.8   288.8   303.7   319.6   340.5   372.4   444.8   532.7  1260.5  34971.4    35000  1747126088823  1747126093991
read      239.6   125.4    63.8   113.5   126.9   230.6   274.1   297.4   313.7   332.2   355.3   391.8   470.4   864.7  3564.8  40163.3    40000  1747126095494  1747126100661
read      227.9    89.7    54.7   110.8   122.1   220.8   262.7   286.5   302.6   319.6   342.2   376.7   453.5   568.7  2055.7  45071.8    45000  1747126102165  1747126107332
read      227.9   100.3    63.8   110.2   121.2   218.1   262.4   287.4   304.2   322.7   346.5   386.2   465.1   609.6  2071.0  49905.0    50000  1747126108836  1747126114005
read      233.2   112.6    54.7   110.7   122.0   219.6   269.5   296.9   314.7   335.3   361.3   399.9   480.2   653.9  3383.2  54830.7    55000  1747126115509  1747126120679
read      236.6   108.4    59.1   110.9   122.4   219.6   275.7   306.1   325.4   347.0   374.6   415.4   489.2   600.3  1214.3  59825.6    60000  1747126122182  1747126127349
