Timestamp start: 1747333832098
Random waveform, supplied seed
Total number of intervals = 192 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582, 81972, 42852, 51852, 109368, 55794, 35534, 90576, 95085, 100029, 72551, 84629, 74136)
Average QPS expected = 88139
Timestamp start: 1747333833605
Timestamp end: 1747334793859

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      180.8    54.9    68.9   101.0   114.0   182.4   197.2   205.3   211.9   218.5   229.5   246.1   289.9   963.1  1097.2   8156.6     8195
read      199.3   129.4    68.9   106.2   116.3   178.2   213.6   235.1   252.5   272.9   298.6   338.9   440.5  1626.2  4218.3 158287.0   158594
read      193.2    91.4    59.1   103.8   113.5   173.8   209.9   232.3   249.9   270.8   296.6   335.8   421.8   867.6  2246.2 149779.8   149766
read      181.0    86.0    68.9   102.7   116.4   179.9   195.2   203.2   210.1   217.1   228.1   245.5   297.0   971.5  3753.5  10355.4    10382
read      204.0   117.1    68.9   110.2   121.3   185.5   220.0   240.8   256.8   275.4   300.3   338.5   430.3  1547.5  3389.3 170364.8   170548
read      196.5   111.0    63.8   105.4   115.3   176.9   213.0   235.0   252.7   273.2   299.1   338.0   423.1  1061.2  3855.1 150354.6   150565
read      192.4    94.5    63.8   102.4   111.5   171.8   210.0   234.2   252.9   274.3   300.7   338.2   411.3   761.4  3351.3 137283.6   137144
read      196.7   104.4    63.8   104.1   113.9   175.8   213.3   236.5   255.0   276.4   303.7   342.2   428.1  1078.5  3138.5 143468.2   143496
read      194.7    99.2    68.9   103.6   113.1   173.1   210.2   233.7   252.3   273.8   300.7   339.8   429.5  1115.3  2502.6 144646.2   144743
read      200.6   130.7    63.8   100.6   109.5   172.9   217.2   244.9   265.2   288.1   315.6   358.8   525.1  1485.7  3612.2 116765.4   116745
read      193.0    92.8    59.1   101.1   110.0   170.6   210.5   235.6   255.1   277.1   304.1   342.0   433.4   969.4  2065.3 129266.8   129314
read      197.0   120.8    63.8   104.0   113.6   175.2   212.3   235.1   253.3   274.3   300.9   339.4   427.2  1444.9  3354.2 144856.6   144723
