Timestamp start: 1747266202902
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      216.4   254.8    80.4   135.0   145.8   199.1   222.7   236.2   247.9   261.2   277.9   307.4   391.0  3065.9 11225.0   4972.0     5000  1747266204410  1747266209670
read      223.0    74.5    80.4   136.6   151.0   216.4   242.7   257.6   268.4   281.3   297.6   327.4   396.4   954.1  1745.9  10005.2    10000  1747266211175  1747266216413
read      242.8   265.1    74.4   131.8   149.0   230.3   261.0   277.0   289.6   304.2   322.6   358.9   436.4  1743.5 11681.3  15017.0    15000  1747266217917  1747266223115
read      240.8    86.1    74.4   126.1   143.9   236.2   269.2   287.2   299.8   315.6   337.9   370.7   435.9   587.5  2130.7  19934.8    20000  1747266224620  1747266229820
read      244.8    89.7    74.4   120.6   138.0   241.5   277.8   296.6   311.0   327.6   349.8   383.3   452.4   629.1  2404.1  25015.2    25000  1747266231324  1747266236523
read      244.7    89.5    68.9   116.9   133.2   241.1   280.3   300.5   315.7   334.7   358.9   393.4   461.4   569.1  1556.8  30020.4    30000  1747266238028  1747266243224
read      248.9    92.9    68.9   116.3   131.4   244.7   287.8   310.0   326.0   345.7   370.7   405.0   471.5   588.3   862.9  34957.7    35000  1747266244728  1747266249926
read      245.8   108.0    68.9   112.1   126.1   238.4   285.2   309.0   325.9   346.9   372.7   409.7   477.3   609.4  2924.4  40016.0    40000  1747266251431  1747266256628
read      246.1   100.1    68.9   110.0   123.2   238.1   287.9   313.4   332.5   355.0   381.9   419.6   491.7   605.8  1115.9  45179.4    45000  1747266258132  1747266263332
read      252.2   188.0    68.9   110.3   123.4   239.3   292.2   319.0   339.5   363.1   391.2   430.2   510.3   789.4 11158.9  49936.8    50000  1747266264838  1747266270038
read      247.5   112.7    68.9   108.4   121.1   235.4   289.5   318.2   340.0   364.1   392.6   431.7   505.8   636.3  3141.6  55026.6    55000  1747266271544  1747266276749
read      247.4   111.9    68.9   106.7   119.3   232.9   290.0   319.6   342.5   367.8   397.2   436.8   517.9   678.9  1548.1  60044.0    60000  1747266278252  1747266283452
read      248.4   110.8    68.9   106.9   119.4   233.3   291.4   322.0   346.0   372.3   401.6   444.1   525.1   653.5  1337.7  64833.4    65000  1747266284956  1747266290155
read      250.9   117.1    68.9   107.0   119.7   234.3   294.7   326.6   350.1   376.9   407.4   452.2   535.7   688.7  1516.1  70096.8    70000  1747266291659  1747266296855
read      238.7   113.3    68.9   103.2   114.6   218.5   277.3   310.6   335.0   362.8   394.3   436.7   525.9   740.3  2008.6  74997.0    75000  1747266298359  1747266303557
read      245.8   190.3    63.8   104.6   116.6   222.0   282.2   316.0   341.0   368.7   400.7   446.9   544.8  1315.6 10943.4  80016.4    80000  1747266305061  1747266310261
read      243.1   113.5    68.9   104.9   116.7   221.5   283.3   318.0   344.2   372.0   403.8   449.2   532.0   670.9  1379.9  84868.6    85000  1747266311766  1747266316965
read      242.8   117.9    63.8   105.1   117.0   219.3   280.8   316.5   342.8   371.7   404.6   452.3   543.3   721.9  1257.3  90070.2    90000  1747266318470  1747266323670
read      246.1   121.3    68.9   106.4   118.3   219.8   283.3   320.4   348.6   378.8   413.5   462.1   560.6   766.0  2172.0  94681.0    95000  1747266325175  1747266330374
read      245.0   128.0    68.9   107.1   119.0   214.2   277.3   317.4   347.8   379.9   416.4   466.6   576.2   855.5  2729.2 100076.5   100000  1747266331878  1747266337078
read      278.3   158.1    63.8   114.6   129.7   241.0   311.5   357.0   388.6   423.7   466.3   539.1   778.6  1371.6  2341.9 105075.4   105000  1747266338583  1747266343783
read      344.2   255.5    68.9   126.7   144.3   263.3   348.0   416.6   468.9   537.7   645.2   832.7  1302.0  1896.7  3842.9 110132.5   110000  1747266345288  1747266350489
read      457.6   444.1    74.4   144.0   164.4   276.0   363.3   500.8   659.3   848.6  1149.1  1427.8  1833.9  3436.0  7652.7 114814.4   115000  1747266351997  1747266357196
read      534.6   567.8    74.4   155.3   177.6   291.1   365.7   494.3   836.2  1266.8  1434.8  1626.5  2562.4  3794.5  8017.0 115331.3   120000  1747266358701  1747266363902
read      470.3   469.6    74.4   135.4   153.2   278.9   397.5   553.2   717.5   898.0  1137.3  1406.8  2242.0  3340.0  7686.1 119218.2   125000  1747266365407  1747266370608
read      560.3   624.2    68.9   159.6   182.9   298.6   360.8   456.7   951.4  1336.9  1474.3  1653.2  3122.1  5134.6  8081.7 116223.0   130000  1747266372112  1747266377313
read      555.8   584.3    74.4   158.4   182.1   298.3   360.8   491.6  1082.4  1345.1  1463.2  1602.1  2619.6  3999.3  8042.2 117072.5   135000  1747266378817  1747266384016
read      531.3   578.4    74.4   153.7   177.1   282.5   338.7   428.3   903.5  1303.6  1434.6  1579.9  2661.0  4256.8  7881.7 122544.8   140000  1747266385521  1747266390723
read      549.5   626.1    74.4   156.8   180.6   289.4   349.8   428.8   886.7  1314.4  1453.0  1617.3  3156.0  4713.1  8070.6 118725.0   145000  1747266392227  1747266397430
read      546.6   628.9    74.4   160.6   184.4   286.3   346.8   428.1   823.4  1303.4  1450.6  1626.3  3181.0  5239.6  8040.3 119358.2   150000  1747266398935  1747266404136
read      520.0   578.2    74.4   156.9   176.9   271.8   342.8   441.0   837.7  1258.3  1400.0  1567.6  2708.3  4473.8  8033.9 125022.9   155000  1747266405640  1747266410842
read      530.1   632.4    68.9   158.8   182.6   277.1   329.1   388.8   674.5  1252.1  1426.4  1613.9  3221.3  5122.7  8035.1 123073.8   160000  1747266412346  1747266417546
read      537.0   653.9    74.4   154.3   177.6   283.2   332.6   386.8   673.3  1286.7  1438.9  1609.1  3278.0  5783.7 11145.6 121589.6   165000  1747266419050  1747266424251
read      588.5   677.6    80.4   167.4   192.7   309.3   381.4   474.3   967.2  1354.0  1490.0  1699.8  3360.5  5807.7  8047.9 110990.6   170000  1747266425754  1747266430953
read      584.0   649.0    74.4   165.2   189.5   311.4   379.7   492.6  1115.2  1373.6  1489.7  1662.6  3206.0  5417.9 11263.1 111857.2   175000  1747266432456  1747266437657
read      560.2   628.4    74.4   161.0   184.7   299.2   364.0   478.6   929.7  1315.9  1454.7  1614.1  3127.5  5309.3  9173.3 116570.4   180000  1747266439159  1747266444359
read      535.0   621.5    68.9   157.7   180.7   281.1   334.9   401.2   780.2  1286.7  1436.7  1607.6  3143.7  5203.2  8029.9 121961.1   185000  1747266445863  1747266451066
read      565.3   656.0    80.4   160.7   183.7   298.6   360.7   436.1   937.8  1338.0  1472.3  1650.1  3256.9  5401.2 11753.9 115580.0   190000  1747266452570  1747266457780
read      579.9   614.6    74.4   163.1   186.7   311.3   378.7   513.6  1206.6  1386.1  1489.8  1619.6  2757.7  4649.0  8133.5 112575.9   195000  1747266459284  1747266464483
read      574.8   643.9    68.9   163.2   188.0   307.5   374.1   497.8   981.0  1347.5  1493.4  1675.9  3086.7  5744.6 12028.0 113650.2   200000  1747266465986  1747266471188
read      558.5   619.7    74.4   160.6   184.0   295.6   358.6   456.7   975.3  1337.7  1470.7  1625.9  2856.4  4933.3  8041.3 116820.2   205000  1747266472692  1747266477894
read      558.0   642.7    74.4   157.7   181.1   294.9   349.0   417.0   904.5  1334.7  1466.1  1630.5  3247.2  5119.6  8062.3 117069.9   210000  1747266479397  1747266484597
read      565.3   626.3    68.9   160.8   184.9   299.7   364.0   468.4  1031.8  1345.7  1472.5  1634.6  2964.1  5398.4  8345.4 115466.4   215000  1747266486105  1747266491305
read      551.2   634.1    74.4   157.8   181.0   291.2   345.8   415.4   870.5  1322.3  1458.0  1614.7  3273.1  4952.8  8042.1 118470.2   220000  1747266492809  1747266498007
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.17%,49.50%,100.00%
Timestamp end: 1747266498318
