Timestamp start: 1747263152347
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      218.8   207.2    80.4   136.0   146.7   198.9   222.8   236.0   248.4   263.5   284.9   325.6   533.7  1949.1 10468.5   4949.0     5000  1747263153855  1747263159108
read      215.8    89.4    74.4   130.9   144.7   203.4   228.9   243.9   255.3   269.9   289.9   329.3   460.9  1083.8  2259.9   9949.8    10000  1747263160613  1747263165850
read      222.3    91.4    74.4   124.9   141.5   212.6   238.3   254.0   266.2   280.5   301.1   340.4   470.7  1148.0  2706.2  14951.2    15000  1747263167355  1747263172551
read      227.6    83.8    74.4   122.4   139.2   221.7   251.0   267.5   279.2   293.8   314.6   346.8   434.4   751.4  2288.8  19901.2    20000  1747263174056  1747263179254
read      237.6    99.0    68.9   117.0   133.6   229.7   263.5   281.8   295.1   312.3   335.7   375.8   520.5  1182.4  2264.1  25077.4    25000  1747263180758  1747263185955
read      240.7    94.8    68.9   114.8   130.0   236.9   273.0   292.1   306.6   323.9   347.1   385.0   469.0   784.3  2338.5  30047.8    30000  1747263187459  1747263192655
read      244.7   102.9    68.9   113.5   127.9   239.9   280.9   302.0   318.0   337.8   362.0   397.2   481.0   911.7  2682.3  34977.9    35000  1747263194161  1747263199360
read      252.8   122.9    68.9   111.7   125.7   243.8   288.5   312.4   330.3   351.4   378.1   425.2   594.6  1200.8  2738.3  40151.6    40000  1747263200865  1747263206061
read      250.7   126.0    68.9   109.5   122.7   242.9   291.1   316.0   334.2   355.2   382.0   424.7   541.9  1054.1  2954.3  45008.0    45000  1747263207565  1747263212766
read      238.4   105.9    63.8   108.2   120.5   229.3   278.2   301.9   319.3   340.5   366.7   404.4   488.4   670.8  2990.6  50095.2    50000  1747263214271  1747263219471
read      242.4   110.7    68.9   105.8   118.4   231.5   284.3   311.2   330.7   352.4   379.2   420.5   508.6   772.0  2751.8  55058.0    55000  1747263220974  1747263226171
read      244.8   109.8    68.9   108.5   121.0   231.3   286.7   315.2   335.9   359.3   387.5   427.7   513.1   706.7  1942.5  59998.4    60000  1747263227675  1747263232873
