Benchmark,1,2,4,8
parsec-blackscholes,86.871,48.696,29.468,22.471
parsec-canneal,184.958,106.865,68.046,56.504
parsec-dedup,14.192,7.673,5.164,4.430
parsec-ferret,227.309,116.495,64.242,55.717
parsec-freqmine,347.507,174.431,95.235,72.281
parsec-radix,40.751,20.697,10.501,6.899
parsec-vips,65.525,33.209,16.971,16.011
