#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      164.8    66.8    59.1    94.5   104.3   160.5   180.2   191.5   199.9   211.2   226.3   250.2   302.8   423.7  3108.3   5034.8     5000
read      188.8    58.3    63.8   102.5   115.0   184.8   209.7   223.7   233.6   246.0   261.5   286.4   338.9   433.4  1220.2   9997.0    10000
read      211.8   129.9    59.1   104.6   118.5   208.0   237.9   254.3   266.2   279.6   296.8   325.8   389.2   509.0  7439.4  15040.8    15000
read      217.2    75.6    63.8   103.6   116.7   218.2   249.4   265.8   276.6   290.6   308.2   335.1   393.6   497.9  1370.7  19937.2    20000
read      227.3    85.1    54.7   103.5   116.4   228.5   264.2   282.2   294.6   310.2   329.6   360.3   430.3   559.1  1421.5  24905.6    25000
read      231.3   109.2    59.1   104.1   116.7   231.1   270.0   289.2   302.7   317.9   338.4   368.8   438.1   700.8  3588.5  29899.2    30000
read      239.4   106.7    63.8   104.7   117.4   239.2   281.8   302.6   317.0   334.4   356.1   390.6   469.3   747.9  2959.7  35069.0    35000
read      244.9   117.1    63.8   107.3   120.1   240.7   288.0   311.2   327.2   345.2   369.2   402.8   493.6   957.5  2882.4  39991.3    40000
read      253.6   106.2    59.1   109.4   123.0   250.6   299.6   323.4   340.4   360.6   386.2   427.1   514.3   722.8  1721.0  45169.0    45000
read      260.0   128.3    63.8   109.0   123.8   252.3   302.9   328.3   345.9   367.6   395.4   440.5   569.5  1431.9  2417.7  50024.2    50000
read      256.2   104.4    68.9   109.9   124.6   250.0   301.1   327.1   345.4   367.6   395.0   436.7   525.9   670.8   936.9  54839.2    55000
read      266.6   172.1    68.9   110.6   125.8   255.1   309.4   337.9   358.7   383.1   414.8   463.8   573.7   856.0 10771.5  60091.6    60000
read      269.5   118.3    63.8   111.1   127.7   259.5   311.9   341.0   363.0   388.9   422.7   471.8   582.9   833.0  1998.4  65120.2    65000
read      282.6   141.6    63.8   113.2   131.2   268.7   322.1   352.9   375.2   403.1   441.9   502.5   668.6  1204.5  3488.7  70063.2    70000
read      357.4   225.2    68.9   122.9   146.4   309.6   383.3   434.1   477.8   537.6   623.0   748.2  1193.0  1578.6  6375.3  74868.0    75000
read      873.3   375.3    74.4   578.9   642.3   799.7   853.5   886.4   922.4  1001.8  1381.6  1550.4  1733.6  7086.5  8562.4  74300.8    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 84.80%,39.20%,100.00%
