#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      195.1    82.9    68.9   112.7   122.6   186.1   208.9   222.1   232.2   245.5   263.5   294.6   424.4  1074.8  2120.1   4978.0     5000
read      222.5   112.3    74.4   112.6   126.0   212.9   243.1   260.1   271.9   286.8   306.0   338.9   458.8  1410.5  3771.8   9975.8    10000
read      256.9   132.6    68.9   110.2   124.1   251.3   288.9   309.0   322.8   341.0   365.2   405.0   596.6  1532.6  2532.8  14954.8    15000
read      254.2   265.4    68.9   107.6   120.9   242.3   284.4   305.3   319.5   337.9   361.5   399.9   529.8  2035.1 11792.1  20033.2    20000
read      276.3   196.9    68.9   107.8   121.3   261.5   311.3   337.4   356.9   380.6   412.8   469.8   684.2  2935.1  4382.8  24983.2    25000
read      288.0   338.8    68.9   108.4   122.1   269.1   319.6   345.6   364.3   385.6   412.9   458.5   711.2  7281.6 10821.3  29985.5    30000
read      276.4   250.6    59.1   107.4   120.9   264.6   320.5   348.7   368.4   390.8   418.5   461.5   588.6  2236.3 11843.3  35055.8    35000
read      314.0   325.8    63.8   109.7   125.7   283.9   346.0   378.5   400.8   427.5   462.1   525.0  1000.0  5394.2  7882.6  40044.6    40000
read      291.9   229.4    63.8   107.8   123.0   270.6   332.5   366.0   389.4   415.9   448.9   501.5   714.0  3273.9  7516.7  45050.8    45000
read      301.5   246.3    63.8   109.7   126.6   277.9   340.8   375.9   400.5   428.9   464.3   523.7   765.4  3857.6  8222.5  49952.6    50000
read      303.3   282.5    63.8   108.2   124.0   269.7   335.4   373.7   400.9   432.3   471.2   538.5   884.2  4221.7  8115.9  55011.2    55000
read      311.8   270.3    68.9   110.9   128.1   276.8   342.0   381.4   409.5   442.8   487.0   563.3  1007.0  4465.2  7726.5  60122.4    60000
read      315.8   271.2    63.8   111.4   130.1   282.4   346.9   386.8   416.0   450.7   495.8   573.6   913.2  3856.0  7971.1  64950.9    65000
read      332.6   248.4    68.9   116.3   137.8   297.1   366.4   407.3   438.0   474.3   525.8   614.4  1082.6  3016.4  7133.0  69890.8    70000
read      367.2   350.2    68.9   120.5   143.3   305.9   389.6   441.0   480.5   529.8   591.2   711.8  1369.2  4687.8  8113.1  75105.9    75000
read      384.0   252.7    74.4   136.3   167.3   343.7   424.3   471.5   508.3   551.4   610.7   713.2  1142.3  2877.4  7556.7  79762.4    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.08%,32.34%,100.00%
