#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      163.6    53.1    68.9    98.0   106.3   159.4   179.2   190.3   198.8   209.4   223.3   246.9   296.2   386.5  1359.3   5047.2     5000
read      191.1    65.8    63.8   101.7   114.2   187.5   211.4   225.3   235.0   248.8   266.4   292.7   355.5   459.6  1886.4   9982.2    10000
read      205.3    82.4    59.1   101.8   115.1   200.7   229.7   246.3   258.1   272.2   291.5   320.6   389.3   552.1  2806.7  15034.4    15000
read      218.2    83.9    63.8   102.0   115.2   217.0   249.5   266.5   278.2   292.3   310.5   338.5   400.4   577.6  2502.2  20031.2    20000
read      225.8    87.7    63.8   103.9   116.2   224.4   262.1   280.9   293.6   309.4   329.1   360.4   425.2   525.4  2799.6  24968.6    25000
read      233.6    89.3    63.8   105.6   117.9   231.6   273.7   294.5   309.1   325.1   345.8   378.5   442.6   549.9  1746.3  29998.8    30000
read      238.4    95.3    59.1   102.9   115.7   237.9   282.6   304.0   318.4   336.0   358.1   392.2   461.2   589.0  1355.7  35124.7    35000
read      242.4    97.5    68.9   105.4   118.4   239.4   288.0   311.3   327.2   345.2   368.4   401.7   473.9   594.4  1136.6  39890.6    40000
read      247.9   105.8    68.9   107.4   120.7   241.7   293.6   318.4   336.2   356.6   381.9   419.9   499.4   640.0  1728.4  45101.4    45000
read      250.6   106.5    59.1   108.0   121.6   241.4   295.8   322.7   342.0   364.2   391.3   430.6   518.6   707.4  1153.9  49923.4    50000
read      254.1   126.5    63.8   108.3   122.1   240.7   296.2   324.6   344.6   368.1   396.6   438.2   542.1  1088.0  3043.7  55069.6    55000
read      265.6   163.4    68.9   110.1   124.1   246.4   307.6   339.8   362.6   388.5   420.7   468.9   606.5  1302.9  6514.0  60115.5    60000
read      270.1   119.7    68.9   111.8   128.2   258.7   313.0   342.9   365.2   390.9   423.5   473.0   592.2   885.3  1550.2  65113.2    65000
read      287.8   145.2    68.9   114.1   132.9   271.9   328.1   360.2   383.7   411.3   450.1   514.9   720.5  1248.3  2089.5  70121.2    70000
read      292.2   147.7    68.9   115.4   133.5   269.3   332.6   369.4   396.9   430.1   474.3   547.3   743.8  1141.0  2107.9  74660.8    75000
read      868.2   356.4    80.4   592.4   642.9   793.0   845.9   872.4   913.0   994.0  1373.7  1540.0  1720.5  7032.0  7535.5  74967.6    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.50%,34.00%,100.00%
