#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      191.5    93.8    68.9   113.2   122.8   183.6   205.0   217.2   226.7   237.0   252.9   279.7   368.5  1369.4  3367.7   4951.4     5000
read      219.5   103.0    74.4   114.1   128.2   213.2   242.1   259.1   270.9   285.5   303.9   333.5   414.0  1093.2  2451.8   9996.4    10000
read      238.0   143.3    68.9   110.0   124.0   227.7   264.3   282.7   295.3   311.6   332.2   366.0   532.6  1681.2  7150.4  14912.6    15000
read      252.5   156.8    68.9   108.1   121.5   243.5   285.2   306.2   320.3   338.2   360.8   397.3   553.7  2332.9  6023.7  19827.8    20000
read      272.1   230.0    68.9   107.6   121.0   259.0   305.9   329.2   345.0   365.4   391.0   430.8   623.3  3860.1  7741.5  25064.8    25000
read      271.9   184.6    68.9   106.4   119.7   261.7   313.0   339.0   357.3   377.6   403.4   447.2   591.6  2600.6  7265.4  29940.8    30000
read      274.9   159.9    68.9   106.4   120.3   264.8   321.5   350.4   369.9   392.4   420.2   461.5   581.9  2117.9  3882.9  35014.4    35000
read      292.5   303.3    68.9   107.4   121.2   264.6   325.8   357.9   379.8   404.1   434.6   486.6   794.5  5701.7  7817.7  39862.6    40000
read      290.4   190.0    63.8   108.5   123.9   272.9   335.6   369.1   392.3   418.4   450.9   500.1   670.9  2585.5  5015.8  45192.6    45000
read      295.7   299.8    68.9   105.3   119.3   258.6   326.0   363.6   389.9   419.9   457.9   520.2   854.5  4716.7  7957.0  49889.8    50000
read      294.4   218.8    68.9   108.1   123.6   266.8   332.3   370.3   397.1   428.1   466.0   526.9   775.0  3139.1  5947.6  54945.8    55000
read      314.2   287.2    63.8   109.1   126.5   277.8   344.4   384.0   412.3   445.8   489.9   567.4  1025.9  4086.8  8060.0  60277.2    60000
read      307.0   241.4    68.9   110.0   127.7   273.6   340.4   381.1   410.4   445.3   490.5   563.8   867.7  3496.5  7681.9  65161.0    65000
read      324.2   236.8    68.9   114.9   135.8   292.2   358.9   398.9   428.8   464.6   511.2   590.6  1004.6  3173.7  7303.2  70020.2    70000
read      330.3   264.0    68.9   116.0   137.0   288.4   361.0   405.2   439.8   481.0   535.8   625.2  1088.5  3446.9  7742.7  75238.1    75000
read      355.9   277.3    74.4   122.7   147.3   309.4   389.6   438.9   475.6   521.0   577.7   671.6  1140.1  4198.0  7705.0  80007.6    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 63.79%,2.02%,100.00%
