#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      246.6   715.2    63.8    93.4   102.1   161.5   187.0   202.9   217.3   235.8   269.5   559.7  1759.0 13706.6 23179.0   4928.6     5000
read      261.2   347.6    63.8    99.5   113.2   186.3   216.7   234.9   250.5   272.4   316.5   880.7  1787.1  3579.8  7540.4   9944.8    10000
read      298.9   369.2    59.1   100.6   115.5   210.2   244.5   266.4   285.1   313.1   382.4  1230.4  1975.2  2501.2  7585.3  15023.0    15000
read      327.2   403.1    59.1   101.7   116.0   225.0   263.4   288.4   311.3   350.9   481.6  1285.6  1986.8  2660.8  7857.6  20011.8    20000
read      350.7   407.5    54.7   103.7   117.9   240.5   283.8   312.6   340.0   394.0   813.9  1317.4  1980.2  2548.5  7746.9  24916.0    25000
read      331.9   335.8    54.7   105.9   121.4   250.3   295.6   324.7   352.9   407.1   570.6  1066.6  1570.1  2346.1  7461.5  30060.0    30000
read      396.0   430.5    63.8   105.4   122.0   266.5   323.3   365.9   414.0   517.5  1084.4  1351.3  1919.2  2956.7  7694.7  34962.8    35000
read      448.9   475.6    68.9   111.3   130.3   286.5   363.3   429.9   509.0   813.3  1306.2  1418.5  1962.3  3608.4  7768.8  39947.2    40000
read      514.9   539.1    63.8   117.6   143.6   322.4   427.3   514.8   610.5  1220.4  1354.9  1498.0  2300.6  7023.9  8063.3  44881.8    45000
read     1360.5  1131.3    74.4   403.3   476.5   707.8  1761.5  2412.7  2508.9  2618.9  2748.5  3050.3  4425.6  8078.7  9660.8  48103.0    50000
read     1437.9  1166.2    80.4   468.1   518.5   742.0  2146.8  2453.5  2556.3  2656.2  2755.9  3067.8  5088.4  8853.4 14462.0  47290.6    55000
read     1399.7  1146.0    86.8   452.0   499.8   714.0  2055.1  2438.2  2525.6  2632.0  2754.9  3058.5  3976.5  8123.8 13941.7  48483.7    60000
read     1448.9  1140.2    86.8   479.3   525.7   748.4  2211.0  2461.2  2562.2  2657.8  2753.1  3067.2  4453.4  8116.6 10822.9  47052.4    65000
read     1437.7  1138.6   101.3   474.6   521.1   743.9  2171.4  2460.7  2558.5  2657.6  2756.7  3067.7  3949.7  8111.3 10605.2  47412.5    70000
read     1455.4  1140.4   101.3   481.2   528.7   753.8  2212.3  2478.7  2580.8  2671.6  2762.4  3088.2  4181.4  8108.0 10233.3  46802.0    75000
read     1474.4  1148.4    93.8   498.1   544.6   778.6  2231.1  2476.9  2582.4  2669.6  2756.9  3077.8  6158.7  8117.6 10727.7  46425.8    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.62%,34.50%,100.00%
