#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      232.3   346.0    59.1    95.0   105.6   168.2   191.8   207.7   221.2   241.5   281.2   625.7  1415.0  5512.7  9137.3   5013.0     5000
read      279.8   366.3    63.8   100.7   115.5   195.7   227.7   249.4   268.0   294.7   361.7  1004.0  1863.6  3213.8  7499.6   9938.4    10000
read      332.6   412.9    63.8   102.4   118.6   225.7   267.4   293.5   317.2   362.5   479.6  1325.5  2134.1  3098.7  7749.2  14934.6    15000
read      346.8   417.0    63.8   102.6   117.8   234.6   282.2   312.5   339.9   391.0   549.3  1341.1  2007.0  3077.2  7613.8  19942.0    20000
read      375.7   430.9    63.8   104.7   120.0   253.1   307.9   344.2   382.2   463.2   902.8  1365.1  1999.6  2772.5  7950.9  24994.8    25000
read      387.1   417.1    63.8   106.5   122.8   269.0   329.0   369.3   411.0   504.9   924.3  1366.0  1930.6  2552.6  7726.0  30040.6    30000
read      443.2   539.9    68.9   108.2   125.7   284.5   355.9   416.9   493.3   640.4  1302.9  1438.0  2009.9  7341.5 11790.9  35014.0    35000
read      473.8   537.7    59.1   111.4   132.2   298.9   382.6   457.8   555.5   868.7  1344.8  1475.3  2036.5  7160.0 11434.6  40129.0    40000
read      503.6   557.1    68.9   121.9   148.0   329.6   435.8   534.3   632.7   791.9  1297.4  1535.1  2446.5  7258.0 12345.4  44968.0    45000
read     1476.0  1150.0    74.4   496.2   540.8   752.1  2248.0  2517.1  2614.4  2689.9  2765.5  3106.4  4757.3  8089.4 10069.0  45989.6    50000
read     1486.1  1157.3   109.4   493.8   540.6   777.5  2254.6  2531.4  2622.2  2696.9  2773.7  3114.2  5100.0  8106.0 10229.6  45879.0    55000
read     1444.6  1152.8    86.8   472.6   517.5   740.9  2226.3  2489.1  2596.0  2683.8  2773.0  3087.6  3802.7  8108.3 13126.1  47008.8    60000
read     1492.7  1164.6    86.8   500.3   547.3   771.5  2262.4  2541.9  2626.5  2699.2  2776.1  3129.4  6212.5  8097.4 10262.9  45757.3    65000
read     1451.1  1178.9    74.4   474.3   520.8   738.6  2207.7  2498.5  2603.4  2686.5  2769.6  3104.2  4948.9  8136.2 13816.5  46888.8    70000
read     1437.2  1152.4    93.8   475.1   518.8   721.9  2218.5  2490.5  2594.3  2681.7  2769.2  3093.5  3726.2  8106.4 14020.2  47324.0    75000
read     1493.1  1305.8    74.4   486.9   536.7   768.3  2265.1  2551.2  2629.9  2700.8  2774.9  3123.8  5661.5  8125.6 39664.1  45651.8    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.83%,35.32%,100.00%
