#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      236.6   337.6    63.8    96.5   106.7   168.6   192.7   208.5   221.5   242.4   287.8   678.1  1773.6  3254.3  7517.0   4965.8     5000
read      285.5   366.5    54.7   100.5   115.6   198.5   230.9   253.1   271.8   301.2   374.7  1038.5  1983.6  2531.6  7870.6  10017.4    10000
read      317.0   384.4    59.1   102.7   119.0   220.2   260.0   286.6   311.0   352.8   457.6  1297.6  1934.1  2766.1  7716.2  15014.6    15000
read      350.6   410.5    63.8   104.6   120.7   240.8   289.6   320.1   348.0   401.9   579.6  1342.0  2025.2  2560.6  7960.2  19936.6    20000
read      380.9   436.1    63.8   104.2   119.9   255.2   310.2   345.9   384.9   471.1   927.7  1382.3  2011.8  3074.3  7618.9  24982.8    25000
read      394.9   432.1    63.8   105.5   122.5   273.4   334.0   374.5   420.0   519.2   944.9  1379.1  1960.2  3636.3  7836.7  30070.2    30000
read      428.1   461.8    63.8   108.5   126.1   283.2   353.6   406.9   476.0   616.8  1292.8  1426.1  1967.0  4085.0  7677.1  34991.8    35000
read      491.5   561.8    63.8   113.2   135.4   309.3   397.1   482.3   584.4   927.9  1362.6  1490.5  2195.8  7229.7 12741.7  40006.8    40000
read      515.6   534.7    63.8   124.5   152.9   338.4   443.3   547.6   657.5   845.3  1337.7  1563.4  2373.6  7135.8  8109.6  45082.5    45000
read     1449.2  1144.2    93.8   474.6   520.0   747.4  2179.5  2488.3  2598.1  2682.6  2767.2  3094.5  4036.0  8101.6 13095.6  46519.8    50000
read     1507.8  1174.2    80.4   507.8   553.3   778.2  2299.3  2571.4  2639.5  2707.6  2797.7  3141.4  6727.3  8116.7 10141.4  45278.9    55000
read     1447.3  1151.3    93.8   477.7   520.5   734.4  2211.8  2503.4  2607.2  2690.2  2781.8  3107.4  3954.6  8094.2 10160.1  47048.0    60000
read     1474.6  1178.1   109.4   480.1   526.2   747.5  2257.2  2533.7  2624.5  2702.2  2816.1  3130.2  6192.5  8123.0 10935.6  46376.0    65000
read     1490.4  1162.9   109.4   502.0   548.1   760.8  2274.0  2547.7  2628.2  2699.6  2771.0  3122.5  5090.3  8108.0 10227.7  45798.6    70000
read     1468.1  1154.8    86.8   488.8   534.4   746.7  2238.6  2519.0  2616.1  2691.9  2767.7  3107.7  4929.7  8102.1 10459.3  46453.0    75000
read     1558.5  1187.3   101.3   528.5   574.3   817.8  2363.4  2596.2  2658.5  2720.7  2837.0  3189.8  7130.5  8109.9 10038.8  43999.5    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.62%,35.00%,100.00%
