#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      224.4   349.6    63.8    92.2   101.9   159.9   184.7   199.5   211.8   227.8   253.0   471.7  1910.4  5983.6  8079.0   4997.4     5000
read      259.5   359.0    59.1    98.2   111.9   190.3   217.7   233.8   248.2   267.7   304.4   873.7  1904.5  4103.5  8047.8   9941.2    10000
read      305.9   465.1    59.1   100.6   115.8   210.0   240.8   260.7   277.8   305.3   369.2  1225.9  2025.8  7306.5 11872.9  14973.2    15000
read      332.4   435.2    59.1   104.2   118.5   224.1   260.1   284.1   306.0   344.8   475.3  1278.6  2020.7  7023.0  8111.9  19990.6    20000
read      321.3   373.7    63.8   104.1   118.6   230.9   268.1   291.5   313.4   355.5   490.0  1220.8  1915.1  2464.2  7879.5  24952.4    25000
read      369.0   441.6    63.8   105.4   120.8   250.3   296.0   327.9   361.0   427.4   918.0  1319.2  1975.9  4639.0  9975.9  29838.2    30000
read      385.9   423.8    63.8   106.9   123.6   261.2   314.1   353.9   399.5   490.6  1000.5  1326.6  1921.1  2973.9  7904.4  35024.2    35000
read      434.1   461.5    63.8   110.1   128.7   276.9   347.9   410.6   478.2   679.4  1270.7  1375.4  1953.5  2925.7  7718.6  39902.4    40000
read      489.5   513.2    63.8   116.2   140.2   305.6   402.5   480.4   567.2  1203.4  1319.1  1447.1  2209.6  5260.2  8053.2  44824.6    45000
read     1282.0  1118.9    63.8   295.8   406.2   679.6  1378.4  2315.7  2457.1  2562.9  2709.7  2992.5  3843.2  8110.5 13908.5  48201.4    50000
read     1428.3  1185.7    86.8   467.7   515.0   710.9  2286.1  2497.0  2581.1  2683.3  2824.4  3125.9  5002.6  8119.0 14315.9  47650.4    55000
read     1402.6  1136.6    80.4   459.0   506.7   711.7  2070.0  2454.3  2539.1  2647.0  2765.3  3075.1  4621.9  8094.0 10116.6  48320.2    60000
read     1416.1  1153.1    68.9   458.3   509.3   730.2  2130.6  2440.8  2532.8  2642.3  2761.6  3066.3  3998.2  8138.0 14490.7  47909.3    65000
read     1451.8  1140.1    80.4   452.7   512.9   810.8  2201.9  2457.9  2565.7  2668.5  2771.6  3069.8  4313.7  8101.9 14109.6  46805.9    70000
read     1500.4  1176.3    80.4   494.9   546.4   805.6  2249.4  2494.2  2601.4  2689.3  2794.8  3117.4  6645.6  8134.9 14646.5  45504.6    75000
read     1469.5  1141.2    93.8   487.0   535.8   781.5  2230.5  2480.7  2586.2  2676.8  2767.4  3094.5  4783.3  8105.0 11399.0  46323.0    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 84.30%,37.19%,100.00%
