#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      210.8   124.9    80.4   129.1   140.0   200.0   223.3   237.5   249.8   264.0   281.6   311.1   403.0  1373.6  7257.9   4997.4     5000
read      259.3   270.3    74.4   128.0   144.1   242.3   278.7   297.9   312.0   328.5   351.0   391.3   581.3  2029.5 11093.8   9907.0    10000
read      268.3   125.9    74.4   120.9   137.4   264.8   304.6   325.8   341.0   359.4   382.7   421.8   538.5  1563.2  2557.3  14981.0    15000
read      317.7   423.0    68.9   118.7   135.8   281.8   327.5   352.5   370.6   393.0   422.6   473.1  1219.0  6965.3  8064.1  19950.2    20000
read      315.5   343.6    68.9   116.9   133.9   290.1   341.5   369.2   389.3   412.5   442.9   496.3   962.0  5681.4  8262.0  24981.3    25000
read      327.4   413.4    68.9   117.0   134.5   290.9   346.9   377.7   399.7   426.2   461.0   524.8  1180.9  7121.1 10560.8  29996.2    30000
read      308.7   264.1    74.4   114.8   131.8   283.3   345.0   379.8   403.8   432.2   467.5   530.2   836.8  4177.2  7664.7  35050.0    35000
read      335.4   416.7    68.9   117.0   134.9   295.6   360.4   396.4   422.1   452.1   492.3   563.0  1077.0  7330.8 11773.0  39966.6    40000
read      334.6   278.9    68.9   117.4   137.4   303.2   370.0   407.4   434.2   466.0   509.1   583.4  1066.7  4372.5  7785.8  45021.7    45000
read      342.1   311.5    63.8   117.0   137.7   302.4   371.7   413.1   443.4   479.6   530.5   618.4  1129.5  4438.5  8138.0  50134.0    50000
read      338.5   291.5    74.4   118.5   139.2   301.4   370.8   412.2   442.9   480.2   532.3   621.9  1043.6  4635.9  7720.3  55073.8    55000
read      364.4   272.5    68.9   123.4   149.2   324.3   398.5   443.5   476.3   519.0   576.7   689.5  1164.2  3787.6  7771.6  60080.9    60000
read      425.4   389.1    63.8   130.6   160.8   355.5   451.7   515.1   566.2   634.0   719.1   846.0  1460.7  6224.0  9870.0  65111.3    65000
read      610.0   426.0    68.9   156.0   208.3   552.1   735.9   803.7   854.3   917.5  1005.0  1247.4  1864.6  5124.8  7993.0  70120.1    70000
read      917.9   423.8    86.8   644.6   679.7   818.4   880.7   928.2   976.1  1076.0  1379.9  1577.8  1977.6  7261.8  8116.2  71517.2    75000
read      891.9   433.0   118.1   633.8   664.5   784.5   843.9   886.0   933.3  1050.9  1372.4  1526.3  1984.4  7231.9  8831.3  73664.8    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 84.58%,38.31%,100.00%
