#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      188.4   118.9    68.9   109.0   119.8   174.8   201.5   217.9   229.5   242.7   258.9   284.6   410.1  1533.3  3220.2  29947.5    30000  1746631402678  1746631412808
read      203.4   198.8    68.9   108.1   118.7   173.1   200.4   217.4   229.8   244.4   263.7   301.9   942.5  2903.2  5772.5  29947.9    30005  1746631414318  1746631424437
read      226.5   229.4    74.4   104.8   115.2   168.6   198.0   217.9   233.9   255.3   311.1   626.8  1177.5  2393.2  4867.2  30056.4    30010  1746631425947  1746631436043
read      208.3   259.8    68.9   105.9   118.0   175.3   202.0   218.6   230.5   244.3   262.2   293.2  1080.4  4473.2  6790.4  30072.2    30015  1746631437553  1746631447651
read      180.2    74.6    68.9   105.2   117.0   172.5   197.4   212.3   223.0   234.5   249.5   270.2   315.0   623.2  2678.6  30053.0    30020  1746631449159  1746631459255
read      179.8    70.6    68.9   108.1   119.0   172.0   196.6   211.4   222.1   233.7   248.5   269.3   312.4   491.6  2564.4  30051.5    30025  1746631460763  1746631470865
read      179.4    79.5    74.4   109.1   118.5   170.1   196.1   211.7   222.7   234.6   249.8   270.8   314.3   538.5  3426.9  29961.4    30030  1746631472373  1746631482469
read      182.8    84.8    68.9   107.4   118.9   173.5   200.3   216.1   227.1   239.0   253.8   274.2   318.5   669.7  3434.0  29854.6    30035  1746631483977  1746631494073
read      182.7    97.1    68.9   102.8   115.3   174.2   200.6   216.0   226.8   238.5   253.2   273.6   318.6   817.7  4517.3  29976.5    30040  1746631495582  1746631505678
read      182.9    75.6    68.9   105.3   117.5   175.1   202.1   218.0   228.8   240.6   254.6   274.7   318.3   491.9  2451.9  29996.8    30045  1746631507187  1746631517281
read      184.2    66.0    68.9   111.0   121.3   175.0   202.3   218.4   229.7   242.3   257.3   278.6   321.9   535.9  2139.2  30114.7    30050  1746631518790  1746631528883
read      182.9    80.3    68.9   107.8   119.9   175.1   199.9   214.8   225.3   236.6   251.6   272.5   316.6   706.2  2700.5  30031.5    30055  1746631530393  1746631540489
read      181.9    81.7    68.9   108.1   119.0   172.8   199.1   214.7   225.6   237.1   252.2   272.7   317.1   676.8  3093.8  30044.2    30060  1746631541999  1746631552095
read      180.3    89.6    68.9   108.7   119.2   172.0   197.0   212.0   222.8   234.5   249.6   270.3   313.7   503.7  3226.2  30099.7    30065  1746631553602  1746631563697
read      182.9    79.8    74.4   106.8   118.5   174.3   200.7   216.3   227.3   239.3   254.0   274.7   319.1   547.1  3342.0  30026.9    30070  1746631565206  1746631575301
read      181.5    76.0    68.9   107.6   118.4   172.5   198.9   214.6   225.6   237.5   252.5   273.3   318.3   650.4  2687.0  30096.5    30075  1746631576809  1746631586910
