Timestamp start: 1747265568000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      210.2   257.2    80.4   134.4   144.2   193.0   215.4   228.5   237.6   250.7   268.2   296.4   401.1  1248.1 11400.2   5047.6     5000  1747265569510  1747265574767
read      215.4    75.3    80.4   133.3   147.0   207.6   232.3   246.9   257.3   270.5   288.3   317.6   398.7   683.9  2199.3  10037.4    10000  1747265576273  1747265581514
read      237.5    75.7    74.4   131.4   149.9   231.5   262.0   278.2   290.7   306.1   327.0   362.7   436.0   644.9  1276.4  15048.6    15000  1747265583021  1747265588220
read      237.5    79.3    68.9   125.6   143.1   232.5   265.2   282.9   295.1   311.2   332.2   366.9   437.3   575.8  1829.9  20021.2    20000  1747265589725  1747265594926
read      247.1   228.5    74.4   121.7   138.3   238.8   274.3   293.4   307.6   323.8   346.7   382.3   453.2   798.5 11497.0  24951.0    25000  1747265596430  1747265601628
read      245.5   223.6    74.4   114.7   130.1   238.4   275.8   295.6   311.0   329.0   352.7   388.4   461.5   873.2 11906.6  30014.2    30000  1747265603134  1747265608333
read      242.7   133.2    68.9   113.7   128.0   236.5   278.4   299.2   315.2   334.9   359.8   395.9   471.8   634.1  3878.8  35113.9    35000  1747265609837  1747265615040
read      248.6   104.3    68.9   112.1   126.4   242.6   288.3   312.2   329.8   350.0   374.5   412.5   498.7   740.2  2581.5  40011.2    40000  1747265616545  1747265621745
read      254.8   252.9    68.9   111.4   125.0   244.3   293.7   319.1   338.2   359.9   385.9   423.3   499.6   921.7 15954.8  44897.7    45000  1747265623250  1747265628448
read      251.1   107.8    68.9   109.2   122.0   242.9   294.8   322.7   343.0   366.0   392.8   430.8   508.6   676.8  2079.2  49834.8    50000  1747265629953  1747265635152
read      245.9   107.9    68.9   108.0   120.3   235.0   288.7   317.0   338.1   361.7   389.2   427.7   503.5   639.7  2005.6  54896.6    55000  1747265636657  1747265641858
read      256.5   119.4    68.9   109.1   121.8   238.9   298.9   331.5   355.4   382.4   415.3   464.1   583.9   804.5  1101.0  59958.4    60000  1747265643363  1747265648564
read      258.4   117.3    68.9   110.2   123.6   244.9   304.6   337.2   360.0   384.8   414.1   456.7   541.1   686.8  2019.9  64894.8    65000  1747265650069  1747265655270
read      246.4   117.1    68.9   108.3   120.2   226.7   286.2   319.2   343.9   370.6   401.0   444.6   533.1   747.8  2427.7  69794.7    70000  1747265656776  1747265661974
read      245.4   120.0    68.9   106.5   118.7   226.9   285.3   317.6   341.6   368.4   399.7   445.5   535.9   700.7  2697.7  75147.4    75000  1747265663480  1747265668680
read      246.4   118.6    68.9   107.5   119.5   225.2   285.3   320.0   345.8   374.4   406.4   450.9   537.3   724.0  2398.1  79993.0    80000  1747265670184  1747265675383
read      250.7   115.2    68.9   108.1   120.8   230.8   292.0   327.3   353.1   380.9   413.0   457.4   543.5   681.2  1457.4  85165.4    85000  1747265676889  1747265682089
read      255.1   170.0    68.9   109.2   121.8   228.8   292.1   331.0   358.6   388.4   422.7   468.4   578.0  1000.8  9506.8  89825.2    90000  1747265683593  1747265688791
read      257.9   178.6    68.9   110.0   122.5   227.3   291.6   332.4   362.1   393.8   430.0   482.8   616.8  1194.8  9565.5  95051.8    95000  1747265690297  1747265695496
read      298.2   192.8    74.4   120.5   137.3   260.7   334.1   379.9   411.0   446.9   493.5   579.1   850.2  1445.2  4082.4  99669.0   100000  1747265697000  1747265702199
read      327.6   218.5    68.9   125.2   142.8   268.8   354.3   408.1   446.1   492.2   561.4   707.4  1179.9  1876.6  3035.6 104693.6   105000  1747265703704  1747265708904
read      342.8   249.8    68.9   127.7   145.5   269.9   361.1   423.3   468.2   526.5   616.9   783.8  1269.9  2007.9  4797.9 109945.8   110000  1747265710409  1747265715609
read      428.1   391.9    68.9   138.4   158.4   279.8   379.4   488.0   592.4   732.6   935.2  1291.0  1759.4  3034.9  7517.0 114680.8   115000  1747265717113  1747265722316
read      543.0   576.4    74.4   161.4   184.7   292.7   360.4   480.3   867.4  1295.1  1453.6  1644.9  2650.1  3998.1  7882.4 116298.6   120000  1747265723821  1747265729019
read      520.9   573.5    68.9   154.9   177.0   279.1   340.8   434.2   768.9  1247.3  1417.9  1599.9  2682.8  4018.4  8075.3 120605.0   125000  1747265730525  1747265735725
read      553.4   606.5    74.4   161.2   185.7   292.6   360.2   467.6   901.8  1319.9  1473.1  1669.7  2816.1  4521.3  7999.2 116575.0   130000  1747265737231  1747265742432
read      555.3   618.7    74.4   160.5   184.3   291.7   359.0   461.1   990.7  1331.6  1460.9  1618.2  2898.1  4671.6 11411.8 117185.8   135000  1747265743937  1747265749138
read      555.5   630.6    74.4   160.8   184.2   295.8   357.1   445.0   858.7  1310.9  1457.0  1634.0  3137.2  5250.6  8285.9 117435.6   140000  1747265750642  1747265755842
read      584.9   622.7    74.4   167.3   192.5   317.1   393.9   556.8  1027.0  1355.3  1496.3  1685.7  2991.0  4679.0  8018.5 111658.4   145000  1747265757347  1747265762548
read      515.5   576.1    74.4   158.9   180.9   269.9   330.3   422.7   757.9  1241.4  1408.8  1587.7  2688.5  4288.7  8029.3 126469.0   150000  1747265764053  1747265769254
read      548.6   641.9    74.4   162.7   187.4   290.9   346.8   425.7   754.2  1250.3  1443.6  1658.3  3263.3  5223.5  8035.5 118979.0   155000  1747265770759  1747265775959
read      547.1   622.0    74.4   163.9   187.9   286.5   353.9   462.2   834.1  1282.3  1436.8  1619.7  3057.2  5382.0  8052.7 119341.8   160000  1747265777463  1747265782665
read      564.6   648.8    74.4   162.0   186.4   302.6   363.0   447.8   840.0  1304.6  1461.5  1664.9  3254.7  5406.3  8043.6 115656.6   165000  1747265784170  1747265789369
read      557.4   633.0    74.4   161.0   185.4   297.1   362.1   466.3   859.5  1296.0  1455.0  1639.8  3157.6  5253.0  8092.0 117193.6   170000  1747265790875  1747265796077
read      559.4   637.3    63.8   161.1   185.6   300.0   361.5   461.5   874.2  1302.0  1456.0  1630.6  3182.9  5231.8  9565.2 116792.6   175000  1747265797582  1747265802781
read      559.4   609.1    74.4   162.9   187.4   300.1   365.8   485.9   944.6  1315.4  1456.6  1618.6  2903.5  5124.0  7998.6 116595.8   180000  1747265804286  1747265809486
read      551.2   608.7    74.4   158.3   183.2   296.2   362.1   495.2   907.1  1294.1  1444.0  1607.1  2842.0  4589.9  9135.1 118193.8   185000  1747265810991  1747265816191
read      568.3   618.6    74.4   162.7   187.1   305.9   372.0   507.6   980.0  1328.8  1465.4  1625.0  3020.6  4904.1  8067.4 114919.2   190000  1747265817696  1747265822896
read      560.9   627.2    74.4   162.0   186.2   301.4   367.6   499.6   953.5  1316.5  1454.0  1609.1  2889.8  5344.8  9477.8 116402.4   195000  1747265824402  1747265829601
read      546.3   603.9    80.4   159.0   183.2   291.0   351.6   453.6   866.8  1304.8  1457.0  1634.2  2928.6  4527.2  8028.2 119386.6   200000  1747265831106  1747265836305
read      570.1   634.9    74.4   161.8   186.3   307.9   377.4   512.1   903.2  1306.8  1463.6  1656.8  3168.5  4912.8  8522.3 114585.6   205000  1747265837810  1747265843010
read      598.0   652.4    74.4   170.6   195.1   322.4   397.2   528.4  1084.1  1373.4  1505.1  1698.0  3227.5  5256.1  8065.6 109271.8   210000  1747265844515  1747265849718
read      577.1   623.3    74.4   165.3   191.1   307.1   382.5   526.7  1028.3  1353.1  1492.3  1684.7  2991.1  4848.5  8049.3 113128.8   215000  1747265851223  1747265856424
read      555.5   603.0    74.4   163.6   188.4   292.8   366.1   497.5   950.8  1316.0  1451.2  1616.1  2805.8  4476.1  8044.6 117500.8   220000  1747265857929  1747265863128
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.08%,49.25%,100.00%
Timestamp end: 1747265863436
