Timestamp start: 1747127880113
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      206.0    99.4    63.8   100.6   113.4   201.2   222.4   234.8   245.0   256.1   273.3   303.9   459.0  1417.6  3085.0   4917.2     5000  1747127881620  1747127886831
read      214.5   128.4    59.1   110.5   133.7   209.7   231.5   244.6   253.7   265.7   279.9   304.1   390.1  1008.6  7536.9   9991.2    10000  1747127888334  1747127893530
read      220.7    89.9    63.8   115.2   136.7   214.7   238.5   252.1   262.7   274.6   293.2   325.7   455.6   937.7  2424.4  14975.6    15000  1747127895034  1747127900207
read      218.0    66.3    63.8   116.9   135.6   215.1   240.0   254.1   265.1   276.8   293.7   320.7   407.6   616.5  1123.0  19950.8    20000  1747127901711  1747127906879
read      218.5    79.8    54.7   115.1   130.7   215.9   242.1   256.7   267.8   280.6   296.5   324.8   419.2   641.9  2468.8  25020.6    25000  1747127908383  1747127913550
read      219.7    83.6    59.1   113.2   126.9   216.7   244.2   259.5   270.9   284.8   302.6   336.8   453.1   704.7  1236.8  29930.8    30000  1747127915054  1747127920222
read      222.4    95.6    59.1   112.6   125.6   217.7   249.3   266.1   277.7   292.3   311.5   344.9   463.2   906.0  2760.8  35200.2    35000  1747127921726  1747127926893
read      214.4    79.1    63.8   111.1   122.2   211.9   244.2   261.0   272.7   286.7   303.9   332.9   420.5   588.1  1385.8  40026.4    40000  1747127928397  1747127933564
read      223.7   149.1    59.1   111.0   122.2   216.6   253.5   271.9   285.2   299.9   319.5   357.8   463.7   877.2  8726.5  44979.1    45000  1747127935068  1747127940235
read      218.5    86.9    59.1   110.2   120.7   212.3   252.6   271.7   285.2   299.9   318.7   350.9   447.3   625.2  1460.4  49970.0    50000  1747127941738  1747127946914
read      220.0    96.7    59.1   109.8   119.8   211.3   252.8   273.0   287.1   303.1   323.3   363.4   481.9   724.1  2808.1  54991.0    55000  1747127948418  1747127953586
read      226.4   111.7    59.1   108.8   119.0   211.7   259.2   282.4   298.0   316.5   341.9   392.9   528.7   893.0  2739.6  59830.6    60000  1747127955091  1747127960258
read      219.0    95.8    59.1   107.8   117.4   204.7   254.0   277.0   292.3   309.7   331.7   371.0   492.0   825.5  1851.7  64822.6    65000  1747127961763  1747127966933
read      216.6   114.5    59.1   107.2   116.6   199.4   249.7   274.2   290.3   308.2   330.9   370.7   488.0   769.6  5404.2  69953.4    70000  1747127968437  1747127973605
read      217.8   103.3    59.1   107.2   116.5   198.0   251.5   277.4   294.2   313.3   337.8   380.2   496.6   790.6  2028.2  74910.8    75000  1747127975108  1747127980275
read      214.7    95.2    59.1   106.3   115.6   193.4   246.5   273.6   291.7   311.5   336.0   376.9   493.7   740.4  1544.5  79769.4    80000  1747127981778  1747127986947
read      209.3    91.5    59.1   105.6   114.5   187.7   240.0   268.2   285.9   305.0   328.3   366.4   470.2   674.8  1454.3  84953.6    85000  1747127988451  1747127993619
read      213.4   104.1    54.7   106.3   115.4   188.5   241.5   270.5   289.8   311.4   338.4   383.3   500.5   779.3  2505.2  89992.1    90000  1747127995122  1747128000290
read      209.5    96.9    54.7   106.2   115.1   184.9   237.0   267.3   287.0   308.2   334.0   373.5   474.6   666.6  1365.7  95196.4    95000  1747128001795  1747128006976
read      214.2   111.7    63.8   107.0   116.2   186.6   238.4   269.4   290.2   312.7   340.3   387.2   517.3  1000.2  3018.2 100250.2   100000  1747128008479  1747128013648
read      222.5   141.2    59.1   107.7   117.1   189.8   241.7   272.1   293.5   318.2   351.3   417.0   642.8  1480.5  4009.4 104885.8   105000  1747128015152  1747128020322
read      207.5    99.5    63.8   107.1   115.8   181.4   229.7   260.5   282.1   305.6   333.7   374.3   481.3   702.3  1496.4 110221.4   110000  1747128021826  1747128026996
read      206.0    94.6    59.1   106.3   115.3   180.0   228.1   258.6   280.3   304.1   332.1   372.7   474.5   664.2  1719.2 114699.3   115000  1747128028499  1747128033668
read      206.2   108.4    59.1   107.6   116.5   179.7   225.6   255.6   277.1   301.3   329.4   371.1   482.8   807.3  2379.0 119898.3   120000  1747128035172  1747128040339
read      206.6    99.2    63.8   108.4   117.4   180.3   225.2   254.6   276.2   300.9   329.7   372.1   489.3   777.4  2498.6 124744.8   125000  1747128041842  1747128047013
read      206.1    95.1    59.1   109.9   118.9   181.1   225.0   254.1   275.9   300.5   329.6   369.9   462.1   647.0  1914.5 130054.6   130000  1747128048518  1747128053685
read      228.7   132.2    63.8   113.3   124.3   195.8   243.6   273.8   296.4   324.3   363.5   434.6   667.2  1322.5  3131.7 134715.1   135000  1747128055188  1747128060357
read      208.4    95.0    63.8   110.8   120.4   182.9   225.3   253.1   274.1   298.8   329.5   376.5   494.8   765.7  1808.1 139820.0   140000  1747128061860  1747128067047
read      213.3   112.4    63.8   112.2   122.4   186.4   230.1   258.6   279.9   304.6   335.7   386.0   509.9   924.9  2361.1 145165.8   145000  1747128068550  1747128073718
read      208.6   105.8    59.1   111.6   121.5   183.9   224.4   250.8   271.0   294.9   325.6   372.6   494.1   841.2  3191.1 150118.1   150000  1747128075222  1747128080393
read      204.7    88.0    63.8   112.3   122.3   182.8   220.5   245.3   264.8   287.9   316.8   361.7   464.7   696.5  1492.7 154874.8   155000  1747128081897  1747128087069
read      214.3   100.0    63.8   115.3   126.8   190.9   230.4   255.8   275.1   298.9   330.5   380.1   506.4   805.2  2513.0 159891.2   160000  1747128088572  1747128093742
read      216.1   100.3    63.8   116.1   127.9   194.3   233.8   259.4   278.2   301.6   332.6   380.9   496.5   760.2  1582.4 164881.6   165000  1747128095245  1747128100417
read      217.9   105.8    63.8   118.0   129.8   196.3   234.6   259.6   278.0   300.8   330.2   375.6   497.0   910.7  3461.1 170036.6   170000  1747128101921  1747128107090
read      222.6   103.5    59.1   120.2   132.4   200.5   240.6   266.3   285.5   308.8   339.5   389.7   506.7   798.4  2583.0 175324.2   175000  1747128108593  1747128113763
read      222.9   100.2    63.8   122.7   135.9   204.9   241.4   264.0   280.7   301.6   330.1   375.5   493.3   797.5  2144.7 180083.3   180000  1747128115266  1747128120433
read      228.3    88.3    68.9   128.2   141.4   211.8   248.1   270.2   287.2   307.7   335.1   379.1   492.7   742.7  1900.6 185276.8   185000  1747128121936  1747128127107
read      246.8   108.9    63.8   132.0   147.5   229.0   269.2   292.8   310.7   332.7   363.0   414.9   556.5   898.8  3327.0 190059.6   190000  1747128128610  1747128133785
read      252.2   115.6    63.8   138.8   154.4   233.7   270.6   292.5   309.5   330.5   360.4   414.9   601.6  1270.7  3482.3 194717.2   195000  1747128135289  1747128140459
read      265.7   101.2    74.4   142.2   159.8   249.7   292.3   317.2   336.4   359.7   390.6   439.4   562.7   826.4  1764.2 197059.2   200000  1747128141962  1747128147131
read      257.9    97.8    63.8   145.8   162.7   243.2   280.1   302.0   318.5   339.8   368.4   415.7   532.5   814.3  2355.1 203285.4   205000  1747128148634  1747128153804
read      263.6    97.1    68.9   149.3   166.7   249.8   286.8   308.4   324.3   344.3   372.1   420.6   548.8   849.9  2136.7 207741.0   210000  1747128155308  1747128160476
read      279.6   106.2    74.4   156.5   177.4   269.0   304.5   324.5   340.5   360.6   387.8   433.4   561.8   884.0  2843.3 208920.9   215000  1747128161980  1747128167150
read      287.3   103.9    80.4   171.7   191.8   274.1   308.3   328.6   344.0   364.9   393.1   441.4   577.2   922.8  2563.6 212186.5   220000  1747128168654  1747128173823
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 57.57%,0.50%,100.00%
Timestamp end: 1747128175531
