Timestamp start: 1747304724594
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      188.1    73.8    63.8   107.8   122.1   187.7   207.4   216.9   224.2   232.0   243.3   261.8   317.4   478.7  2018.2   4985.6     5000  1747304726102  1747304731306
read      196.8    70.6    63.8   110.8   128.0   195.3   214.3   224.9   232.5   242.2   254.2   276.5   346.8   632.9  2683.4   9976.6    10000  1747304732809  1747304738004
read      206.3    64.5    68.9   118.3   135.8   207.9   227.0   236.0   244.5   252.9   266.1   287.0   342.8   477.3  2023.5  15062.8    15000  1747304739507  1747304744674
read      206.9    65.5    63.8   115.1   131.3   206.4   228.3   240.0   249.0   259.6   273.0   296.8   369.2   541.7  1995.0  20218.0    20000  1747304746177  1747304751346
read      212.0    79.4    63.8   114.4   129.7   212.8   235.6   248.5   257.3   268.7   283.5   308.7   374.4   539.0  2728.3  25077.2    25000  1747304752849  1747304758016
read      213.8    74.3    63.8   111.7   125.8   213.1   238.3   252.2   262.6   273.9   291.7   321.5   412.9   717.3  1611.6  29961.2    30000  1747304759518  1747304764686
read      212.2    77.7    63.8   109.9   122.5   211.8   238.9   253.1   263.8   275.1   292.8   320.7   408.8   674.4  1921.5  35056.5    35000  1747304766189  1747304771357
read      211.3    97.2    63.8   108.3   120.0   211.8   241.6   256.4   267.2   279.3   295.3   322.8   395.9   547.7  2253.9  40153.2    40000  1747304772861  1747304778027
read      214.7    91.5    63.8   107.5   119.3   214.2   246.9   263.1   273.7   288.0   306.3   336.6   405.8   565.2  3782.7  44992.2    45000  1747304779529  1747304784698
read      207.6    85.1    59.1   104.4   115.2   205.8   240.0   256.7   268.4   282.1   299.2   329.1   401.7   544.0  2034.9  50152.4    50000  1747304786200  1747304791368
read      205.0    84.4    59.1   102.9   113.3   201.9   239.1   256.1   267.8   281.2   297.6   326.9   390.3   535.0  2290.9  54940.6    55000  1747304792871  1747304798043
read      204.3    89.9    59.1   102.6   112.6   197.2   237.0   255.6   268.3   282.9   301.3   331.6   396.6   901.0  2036.3  60099.0    60000  1747304799546  1747304804715
read      201.4    91.1    59.1   101.7   111.3   193.4   235.3   254.6   267.3   281.5   298.6   328.3   388.1   496.8  2647.3  64854.0    65000  1747304806217  1747304811385
read      200.0    82.5    59.1   100.4   109.8   189.4   234.7   255.2   268.6   284.0   303.3   333.7   393.4   500.6  1444.9  69884.8    70000  1747304812888  1747304818060
read      198.8    86.7    59.1    99.1   108.5   185.8   232.1   253.9   268.0   284.0   303.8   334.9   399.7   548.2  2604.5  75057.4    75000  1747304819562  1747304824731
read      198.1    85.1    59.1    99.4   108.6   183.0   231.1   254.2   269.0   285.7   306.1   337.2   400.4   509.2  1220.5  79976.0    80000  1747304826234  1747304831402
read      199.9    91.3    59.1    99.3   108.6   182.5   231.3   255.5   271.2   289.2   311.2   344.5   418.8   571.7  2228.9  85007.4    85000  1747304832906  1747304838074
read      198.8   120.1    59.1    98.8   107.9   180.0   228.4   252.9   269.1   287.3   310.2   344.8   423.7   591.5  4339.2  89784.4    90000  1747304839577  1747304844745
read      194.8    83.5    59.1    97.9   106.7   175.7   224.0   249.5   266.4   284.9   307.6   341.2   410.9   525.8  1062.5  94929.8    95000  1747304846249  1747304851417
read      195.5    91.0    59.1    97.5   106.3   174.5   222.8   249.1   266.8   286.4   310.4   345.4   426.9   644.4  2142.0  99962.4   100000  1747304852920  1747304858088
read      193.9    97.4    59.1    97.8   106.5   172.5   218.5   244.9   262.8   281.8   305.2   340.3   421.2   999.1  2185.2 105034.6   105000  1747304859592  1747304864761
read      190.7    86.8    54.7    97.5   106.2   170.0   214.0   240.2   258.8   278.4   302.6   338.2   407.0   546.2  2634.5 109970.4   110000  1747304866265  1747304871434
read      188.6    84.0    59.1    97.4   106.1   168.6   210.9   236.8   255.8   275.6   299.7   334.8   401.0   511.6  1507.6 114950.5   115000  1747304872936  1747304878110
read      190.1    89.0    59.1    97.8   106.5   168.8   211.3   237.5   256.7   277.5   303.0   339.7   414.4   558.4  2716.4 120078.2   120000  1747304879614  1747304884782
read      186.8    80.0    59.1    98.0   106.6   166.9   206.6   232.2   251.5   272.5   297.5   333.5   399.0   489.7  1298.9 124799.4   125000  1747304886285  1747304891452
read      188.8    85.2    59.1    98.7   107.7   168.7   208.3   233.6   252.7   273.8   298.9   335.8   409.2   535.8  1564.0 129952.8   130000  1747304892955  1747304898125
read      186.6    81.4    59.1    98.7   107.5   166.6   204.6   229.8   248.8   270.4   296.2   333.5   401.3   503.8  2494.6 134984.8   135000  1747304899627  1747304904796
read      186.8    82.7    59.1    99.4   108.5   167.7   204.1   228.4   246.8   268.4   294.7   332.3   401.7   513.0  1753.7 139641.6   140000  1747304906298  1747304911466
read      188.8    80.5    54.7   101.3   110.5   169.5   205.4   229.0   247.2   269.1   296.0   336.4   409.5   560.9  1446.6 145492.7   145000  1747304912970  1747304918140
read      189.9    96.2    59.1   102.4   111.6   170.3   205.1   228.0   245.8   267.3   293.7   333.9   415.2   837.8  2087.1 149948.6   150000  1747304919643  1747304924811
read      187.6    76.9    59.1   101.8   111.2   170.0   204.0   226.2   243.4   264.7   291.1   329.4   401.9   524.9  1380.5 154780.7   155000  1747304926314  1747304931485
read      186.3    75.7    59.1   102.4   112.0   169.7   201.8   223.1   239.3   260.2   286.3   324.2   394.8   503.3  1628.8 159782.2   160000  1747304932987  1747304938163
read      188.6    83.0    59.1   103.7   113.6   172.4   204.7   225.8   241.8   262.1   287.8   325.5   399.8   512.7  1292.9 164890.0   165000  1747304939666  1747304944834
read      191.5    75.9    59.1   105.8   116.2   176.2   208.3   228.3   243.9   263.5   288.8   327.8   402.5   520.5  1777.1 169834.2   170000  1747304946338  1747304951509
read      196.1    87.0    63.8   107.3   118.0   180.1   213.1   233.4   249.9   269.8   295.5   336.6   422.8   573.8  1508.0 174725.0   175000  1747304953011  1747304958180
read      199.6    89.5    59.1   110.7   122.0   184.2   215.7   234.7   250.4   269.5   294.8   336.5   431.6   662.2  2413.0 179932.6   180000  1747304959683  1747304964854
read      200.8    83.5    59.1   112.0   124.0   186.3   217.0   235.4   250.7   269.3   294.1   335.6   429.1   637.2  2627.9 184699.4   185000  1747304966356  1747304971525
read      208.5    86.6    54.7   114.7   128.1   194.0   226.1   245.5   260.7   279.3   305.3   346.6   453.5   692.4  2218.9 189828.2   190000  1747304973028  1747304978197
read      213.1    92.0    63.8   118.0   131.6   199.4   231.2   250.5   265.3   283.1   307.6   346.5   445.7   894.5  2706.9 195114.4   195000  1747304979700  1747304984869
read      212.3    90.3    59.1   122.9   137.3   200.8   229.3   246.3   259.2   274.8   297.2   336.3   428.7   632.0  3976.2 199792.3   200000  1747304986373  1747304991542
read      222.9    87.7    59.1   126.3   141.2   211.3   242.0   260.6   274.0   291.6   314.9   354.5   459.4   731.4  1920.2 204911.6   205000  1747304993045  1747304998216
read      268.5   128.9    59.1   138.6   156.6   247.2   289.9   314.6   333.4   356.8   390.0   452.4   692.7  1529.4  2802.8 204244.9   210000  1747304999719  1747305004888
read      268.2   111.2    63.8   152.5   172.1   252.9   287.6   308.6   324.1   344.3   372.4   422.9   585.4  1200.8  2659.9 213979.5   215000  1747305006392  1747305011559
read      259.6    82.7    63.8   160.2   179.4   253.5   280.8   295.9   308.2   321.1   341.6   374.1   466.1   669.6  2871.0 219022.9   220000  1747305013063  1747305018233
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 56.15%,1.00%,100.00%
Timestamp end: 1747305020003
