Timestamp start: 1747128252770
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      199.1    88.9    63.8   101.7   114.6   196.8   216.6   228.8   237.2   249.2   265.2   291.4   383.4   943.7  3113.5   4991.4     5000  1747128254276  1747128259484
read      208.5    80.3    63.8   110.0   131.8   205.4   225.7   237.0   246.9   257.7   272.4   295.5   375.3   926.3  2998.5   9903.4    10000  1747128260987  1747128266184
read      210.9    81.1    68.9   115.3   134.8   207.0   228.3   240.6   250.0   261.8   276.3   301.3   404.7   903.0  2667.4  15050.6    15000  1747128267688  1747128272858
read      218.1    82.1    59.1   116.1   133.1   213.0   236.8   251.1   261.8   273.8   291.4   322.0   463.4   745.6  3224.0  20068.4    20000  1747128274361  1747128279533
read      219.9    89.5    59.1   115.2   130.2   216.6   242.6   256.7   267.5   279.7   295.6   322.5   443.2   921.5  3012.5  25011.4    25000  1747128281038  1747128286206
read      215.2    85.9    59.1   112.9   126.1   212.8   240.1   254.9   266.5   279.1   295.3   321.9   414.2   626.7  3226.2  30050.2    30000  1747128287711  1747128292880
read      213.6    87.1    63.8   111.7   123.1   213.3   241.7   256.4   267.7   280.4   296.1   321.1   393.4   555.5  2504.3  35007.0    35000  1747128294383  1747128299552
read      215.6    79.8    59.1   111.3   122.5   213.2   246.0   263.3   275.0   289.6   307.6   336.4   414.9   535.6  1703.6  39976.8    40000  1747128301056  1747128306225
read      219.7   127.5    50.7   110.7   121.8   214.1   250.6   268.8   281.3   295.3   314.5   345.2   448.4   831.1  6320.9  44930.0    45000  1747128307728  1747128312897
read      219.0    95.2    54.7   109.8   119.8   211.4   250.0   269.3   282.9   298.0   318.9   357.6   477.8   884.5  2357.7  50094.4    50000  1747128314399  1747128319570
read      218.2    96.6    59.1   109.7   120.0   209.9   253.5   274.2   288.3   304.0   322.2   353.6   437.3   631.5  2804.7  54962.0    55000  1747128321073  1747128326240
read      215.7    87.1    59.1   107.7   117.5   205.2   252.4   274.7   289.6   305.8   324.7   356.5   438.6   595.0  1334.6  60037.2    60000  1747128327743  1747128332911
read      213.2    92.6    59.1   108.2   117.5   200.4   249.1   272.4   287.4   303.8   323.1   354.2   428.0   551.9  2385.4  64880.6    65000  1747128334413  1747128339582
read      212.4    88.7    59.1   107.8   116.9   196.9   247.9   272.5   288.5   306.0   326.6   358.8   438.7   578.0  1354.0  69883.6    70000  1747128341085  1747128346256
read      211.0    99.5    59.1   106.5   115.7   193.1   244.3   270.4   287.3   305.5   327.0   360.6   443.5   618.1  3064.2  75014.3    75000  1747128347759  1747128352930
read      212.3   101.7    63.8   106.9   116.0   191.5   245.0   272.8   290.3   309.5   332.8   367.7   457.4   674.7  2477.3  80106.8    80000  1747128354432  1747128359600
read      207.3    95.6    59.1   105.9   114.9   185.7   237.7   266.6   284.7   303.6   325.9   359.4   437.8   580.6  2744.3  85224.0    85000  1747128361103  1747128366271
read      210.2    94.5    59.1   107.1   116.2   187.3   240.2   269.8   288.7   308.9   333.1   368.6   454.1   624.3  1606.1  90167.8    90000  1747128367774  1747128372944
read      207.3    97.8    59.1   106.6   115.5   183.7   233.7   264.2   284.3   305.7   330.2   365.8   451.0   649.6  2520.5  95158.0    95000  1747128374446  1747128379618
read      206.0    94.6    59.1   106.7   115.6   181.8   231.1   261.8   282.2   303.9   328.9   365.7   454.5   624.0  1849.6 100082.0   100000  1747128381120  1747128386289
read      203.8    99.3    59.1   105.2   114.0   179.2   227.5   258.0   278.8   300.5   325.4   363.3   455.3   673.9  2670.3 104946.6   105000  1747128387791  1747128392959
read      205.1    93.8    59.1   107.0   115.9   180.0   227.6   258.3   279.5   302.7   329.4   367.5   454.8   616.6  2323.5 109872.7   110000  1747128394462  1747128399630
read      204.2    89.5    63.8   108.3   117.1   179.4   225.0   255.6   277.2   300.6   327.4   364.9   446.1   588.1  2412.1 115085.4   115000  1747128401133  1747128406301
read      205.6    94.8    59.1   109.1   117.9   180.4   226.0   256.4   278.0   302.0   329.9   368.5   454.9   622.5  2200.9 119730.2   120000  1747128407803  1747128412973
read      207.0    91.4    63.8   109.5   118.6   181.6   226.1   255.6   277.3   302.1   331.4   372.6   475.8   719.4  1313.0 125065.8   125000  1747128414476  1747128419644
read      201.5    91.0    59.1   108.9   117.8   177.8   219.0   248.0   269.4   293.3   320.7   360.3   442.5   589.2  1232.1 129897.7   130000  1747128421146  1747128426315
read      204.8    89.7    59.1   109.7   119.0   180.8   222.3   250.7   272.0   296.6   326.3   368.1   461.7   653.7  1575.5 134993.9   135000  1747128427818  1747128432987
read      205.9    91.8    68.9   110.9   120.5   182.1   222.9   250.6   271.5   295.7   325.4   367.6   464.0   680.9  2418.8 140017.9   140000  1747128434490  1747128439659
read      206.3   108.2    63.8   112.0   122.1   183.5   223.2   249.8   270.1   293.5   322.4   364.7   455.7   634.2  2100.9 144854.9   145000  1747128441162  1747128446332
read      211.2   101.5    68.9   112.6   123.2   187.1   227.8   254.1   274.4   298.2   329.4   375.8   496.4   803.1  2002.2 150130.0   150000  1747128447835  1747128453005
read      210.3    94.6    59.1   113.5   124.2   187.2   228.6   255.5   275.7   299.9   329.4   371.1   463.5   641.0  2498.3 154817.0   155000  1747128454508  1747128459677
read      205.0    89.0    68.9   112.9   123.5   184.2   220.9   245.5   264.6   287.5   316.2   358.9   452.7   688.9  1386.0 160099.6   160000  1747128461180  1747128466351
read      214.1   104.4    63.8   115.0   126.2   190.2   230.8   257.3   277.2   301.4   332.9   380.7   495.1   753.5  2639.2 164995.8   165000  1747128467854  1747128473022
read      204.8    85.5    63.8   114.3   125.4   186.0   221.2   243.7   261.3   282.3   310.0   351.9   445.2   643.6  1386.9 169918.8   170000  1747128474524  1747128479693
read      210.1    84.0    63.8   118.5   130.0   191.9   227.4   250.1   267.7   288.8   315.6   357.1   444.7   625.6  2360.5 174779.1   175000  1747128481196  1747128486365
read      213.7    96.0    68.9   120.1   132.2   197.2   232.2   253.9   270.6   290.6   316.4   357.2   445.3   619.8  1953.8 180311.4   180000  1747128487868  1747128493042
read      224.1   110.6    63.8   122.8   136.1   206.7   243.6   266.2   282.9   303.4   330.9   373.3   471.6   794.4  4231.6 185370.5   185000  1747128494544  1747128499713
read      230.6    93.5    68.9   125.8   139.0   209.3   248.8   273.9   293.9   318.3   351.8   406.0   524.5   686.9  1482.1 188166.0   190000  1747128501216  1747128506384
read      232.8    94.3    68.9   130.5   144.7   218.1   254.4   276.0   292.7   312.7   339.0   381.4   474.3   678.7  1972.6 195107.3   195000  1747128507887  1747128513059
read      243.4   100.6    63.8   133.1   148.0   224.6   263.8   287.9   306.6   329.9   362.3   415.4   536.8   782.8  2669.3 196875.0   200000  1747128514561  1747128519729
read      253.4   112.9    63.8   137.9   152.7   229.5   267.7   291.8   311.5   337.9   378.1   460.3   638.4   893.5  2134.5 196802.9   205000  1747128521231  1747128526401
read      249.9   109.8    68.9   139.9   155.4   232.7   269.8   292.2   309.9   332.1   363.6   416.1   527.2   726.1  4151.7 205253.4   210000  1747128527903  1747128533074
read      271.5    96.9    74.4   159.7   177.7   259.3   294.5   315.7   332.2   351.9   379.0   424.0   525.5   728.6  1826.1 210858.4   215000  1747128534577  1747128539746
read      281.6    97.2    74.4   167.3   187.2   270.2   305.3   325.8   341.7   361.8   388.6   431.9   531.6   685.9  3540.4 212930.8   220000  1747128541249  1747128546418
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 55.81%,0.00%,100.00%
Timestamp end: 1747128548195
