Timestamp start: 1747304329299
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      194.4    84.1    68.9   112.8   127.8   194.1   213.4   223.3   230.0   237.2   249.0   267.5   326.2   577.3  4242.9   4948.4     5000  1747304330806  1747304336017
read      206.0    69.6    68.9   122.7   141.0   204.1   222.8   232.6   240.3   250.1   263.5   286.7   364.9   718.4  2689.6   9970.6    10000  1747304337520  1747304342719
read      210.3    81.9    68.9   122.3   140.2   210.6   230.0   240.3   248.4   257.5   270.5   291.6   347.6   524.7  4020.3  15021.2    15000  1747304344221  1747304349396
read      215.5    76.6    68.9   121.6   138.1   218.5   238.4   249.4   256.8   266.7   277.7   297.0   346.4   543.3  2881.7  20010.4    20000  1747304350899  1747304356076
read      218.4    62.6    63.8   119.3   135.4   221.2   244.3   256.3   265.7   275.1   290.5   314.1   368.0   507.5  1400.4  24974.4    25000  1747304357580  1747304362751
read      217.9    78.5    59.1   115.6   130.0   220.8   245.5   258.3   267.6   278.0   293.1   317.0   373.1   506.1  2681.4  30094.8    30000  1747304364254  1747304369429
read      219.7    72.8    63.8   114.7   128.8   223.7   251.5   265.4   274.4   286.6   300.7   323.8   376.6   505.1  1478.2  35078.0    35000  1747304370931  1747304376105
read      217.2    86.3    63.8   110.1   122.5   217.3   247.1   262.7   273.2   287.2   304.8   333.9   404.4   819.1  2844.5  40094.3    40000  1747304377608  1747304382780
read      208.8    73.2    63.8   106.1   117.5   210.1   241.5   257.0   267.9   280.4   296.1   321.0   379.6   486.0  1623.2  45127.0    45000  1747304384283  1747304389457
read      210.9    84.6    59.1   105.7   116.8   210.1   246.0   262.9   273.9   287.7   304.5   332.4   394.0   519.4  1780.7  50051.3    50000  1747304390960  1747304396140
read      210.2    80.0    59.1   103.6   114.3   206.9   245.6   263.7   275.3   290.5   309.8   340.2   411.5   574.0  1448.4  55024.6    55000  1747304397644  1747304402817
read      206.5    99.3    59.1   102.2   112.4   200.2   241.1   259.9   272.0   286.7   305.1   334.7   399.4   647.5  2920.4  59958.6    60000  1747304404320  1747304409493
read      205.9    87.4    50.7   101.1   111.0   197.1   241.3   261.9   275.1   291.3   311.6   342.3   410.6   542.4  1720.8  65181.6    65000  1747304410997  1747304416172
read      205.7    81.1    59.1   101.1   110.9   195.9   242.1   263.3   277.0   293.1   313.9   344.3   410.9   521.9  1039.4  69944.6    70000  1747304417676  1747304422849
read      205.1    86.6    59.1   100.1   110.0   191.1   240.8   263.8   278.6   295.5   317.4   348.9   415.7   521.9  1741.0  74888.6    75000  1747304424352  1747304429524
read      201.9    92.4    54.7    98.7   108.2   186.5   234.6   257.9   272.9   290.4   312.5   346.3   429.5   642.2  1462.9  80347.0    80000  1747304431026  1747304436199
read      201.2    86.9    59.1    99.8   109.3   184.1   233.3   257.1   272.3   289.8   311.5   343.9   426.6   758.5  1574.8  84876.0    85000  1747304437701  1747304442877
read      197.1    89.6    54.7    97.8   106.8   179.0   227.9   252.6   268.6   286.7   309.0   342.7   414.1   566.6  2005.5  90077.0    90000  1747304444379  1747304449556
read      195.2    89.4    59.1    97.8   106.7   176.0   224.5   250.1   266.8   284.9   307.0   340.1   407.6   551.3  2716.6  94849.9    95000  1747304451059  1747304456230
read      193.3    82.7    59.1    97.3   106.1   173.3   220.8   246.6   264.0   282.9   306.2   341.5   414.8   540.8  1093.7  99989.1   100000  1747304457733  1747304462908
read      193.4    92.6    59.1    98.1   106.8   172.8   218.9   245.2   263.4   283.1   307.0   341.1   411.1   532.5  2890.9 104972.2   105000  1747304464411  1747304469585
read      192.2    87.5    54.7    97.7   106.4   171.2   216.9   243.4   261.9   281.9   306.3   341.7   418.0   542.0  1867.2 110143.6   110000  1747304471088  1747304476261
read      191.2    85.8    59.1    98.0   106.6   169.6   214.2   241.0   260.2   280.9   305.7   340.8   412.5   536.1  2509.7 115082.4   115000  1747304477764  1747304482937
read      191.6    91.5    59.1    98.2   107.3   170.7   213.0   239.0   258.1   279.0   304.6   342.2   419.8   577.3  2201.3 119981.7   120000  1747304484439  1747304489613
read      210.3    97.2    59.1   104.8   115.2   186.9   231.9   259.8   279.7   303.3   333.7   382.4   507.6   758.8  1363.6 124827.2   125000  1747304491116  1747304496292
read      207.1   102.6    59.1   104.3   114.5   184.0   227.2   254.0   273.7   296.8   326.3   371.8   489.4   933.5  2245.4 130067.3   130000  1747304497795  1747304502968
read      193.8    95.7    59.1   101.5   110.8   173.2   212.8   237.3   256.5   278.0   305.0   343.5   425.4   588.7  2713.6 135104.9   135000  1747304504470  1747304509643
read      192.0    83.6    63.8   101.2   110.5   171.4   210.3   234.7   253.9   275.6   303.6   343.7   423.3   586.4  1811.3 139791.9   140000  1747304511147  1747304516317
read      192.1    80.4    59.1   102.1   111.5   172.2   210.1   234.0   252.9   274.3   301.3   341.7   425.6   587.8  1080.1 144984.4   145000  1747304517820  1747304522995
read      191.5    93.3    59.1   101.9   111.5   172.2   208.7   231.9   250.1   271.3   297.4   337.6   416.9   584.5  3784.2 149839.6   150000  1747304524498  1747304529671
read      192.2    84.9    59.1   102.7   112.7   173.5   208.6   230.8   248.3   269.4   296.1   338.0   427.3   693.8  1712.4 154994.6   155000  1747304531175  1747304536349
read      189.4    82.8    59.1   103.0   112.8   172.2   205.7   227.5   244.4   265.2   291.3   329.9   403.6   530.3  2032.1 160124.2   160000  1747304537852  1747304543027
read      193.1    80.3    59.1   105.1   115.5   176.6   209.9   230.8   247.2   267.4   293.5   334.2   413.7   554.0  1996.1 164959.1   165000  1747304544530  1747304549703
read      196.5    83.9    59.1   106.4   117.1   179.9   214.1   234.8   251.5   271.5   297.3   338.9   424.3   610.5  2618.4 169957.0   170000  1747304551207  1747304556380
read      197.9    82.3    59.1   109.0   119.9   182.3   214.5   234.1   250.2   269.5   294.5   335.5   422.4   794.7  1944.2 174705.6   175000  1747304557883  1747304563054
read      198.6    78.8    50.7   110.3   121.6   184.3   216.2   235.5   251.2   270.1   294.7   333.8   412.6   543.7  1725.4 179788.3   180000  1747304564557  1747304569732
