Timestamp start: 1747323225081
Random waveform, supplied seed
Total number of intervals = 96 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124)
Average QPS expected = 95088
Timestamp start: 1747323226587
Timestamp end: 1747324186814

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      206.4   116.2    59.1   102.5   112.3   181.0   224.6   252.1   272.4   295.9   325.0   370.9   540.1  1142.1  2895.2 128355.5   128494
read      215.1   112.0    59.1   109.3   122.4   210.5   237.0   252.6   264.6   278.3   296.9   329.3   426.8   800.7  2532.3  20760.2    20789
read      226.4   141.6    59.1   100.4   110.2   209.5   259.5   285.2   303.2   324.1   351.8   397.2   546.2  1672.6  4799.3  63603.5    63647
read      225.3   122.0    59.1   100.0   109.8   210.7   262.6   288.9   307.0   327.7   354.3   394.8   506.4  1308.6  3268.5  64889.8    64802
read      224.4   122.8    59.1   101.7   111.6   212.7   258.7   282.8   299.5   318.5   343.1   381.1   498.8  1540.5  3203.0  55806.5    55719
read      206.9   122.2    59.1   110.7   122.3   188.4   222.7   243.2   259.0   277.8   303.1   342.2   458.9  1625.9  3455.0 173947.0   174179
read      199.7    97.3    59.1    99.7   108.6   177.7   224.6   252.7   272.0   293.4   318.3   355.7   449.6   724.0  2253.7 106261.5   106356
read      208.8    99.9    59.1   113.4   126.1   192.9   226.2   246.2   261.6   280.1   305.1   344.2   455.3  1058.3  3206.2 178840.8   178750
read      206.4   114.6    59.1   101.3   110.5   182.4   230.4   259.0   278.8   301.2   328.0   368.8   496.9   935.3  2863.6 105890.6   105831
read      203.8   106.4    54.7   101.6   110.7   180.0   226.5   254.8   274.9   297.3   323.7   363.9   474.8  1020.3  2901.5 110825.3   110667
read      198.7   113.2    59.1   110.8   125.2   192.8   211.5   222.4   231.2   242.3   257.6   285.8   368.6  1579.1  4469.7   8794.4     8803
read      224.5   123.3    59.1   103.1   113.7   216.4   256.9   278.9   294.3   312.3   334.8   369.4   469.1  1580.5  4043.8  45737.6    45662
read      219.1    87.1    63.8   105.8   117.4   215.8   249.0   267.4   280.6   295.9   315.5   344.6   428.4   732.3  2202.7  30817.3    30867
read      222.2   114.9    63.8   104.4   115.0   216.4   254.7   274.2   288.9   305.7   326.9   361.7   460.9  1325.2  3965.6  45621.9    45656
read      204.3   100.3    59.1   100.5   109.8   183.1   231.6   259.5   278.3   299.4   324.5   362.6   459.4   730.9  2843.4 100880.8   100938
read      202.6    98.6    59.1   103.3   113.2   181.1   223.0   249.6   269.5   292.6   320.0   362.2   464.7   735.9  2387.4 132446.4   132360
read      212.3   133.1    59.1   102.9   112.5   201.2   248.1   270.2   285.4   302.1   321.8   353.8   432.3   734.4  2639.9  67640.6    67591
read      214.4    84.6    63.8   109.8   121.3   214.5   243.3   258.3   269.3   282.4   298.7   326.1   394.3   569.1  2703.4  33944.6    33910
read      210.4   103.3    59.1   101.6   111.0   190.4   241.5   268.5   286.7   306.9   331.4   368.8   482.5   820.8  2579.2  85782.8    85729
read      204.6    81.2    68.9   115.8   130.4   201.0   221.1   233.0   242.4   253.3   269.6   295.8   371.8   610.8  2714.8  12919.4    12884
read      220.8    93.4    63.8   107.7   117.8   218.4   257.4   276.4   290.2   305.8   324.8   355.9   430.1   592.5  1969.9  45648.0    45621
read      223.7    93.9    63.8   109.6   120.4   221.0   255.8   273.8   287.5   302.9   322.3   356.3   450.8   698.8  2770.0  37046.7    36938
read      218.8   109.8    59.1   105.0   114.8   209.7   254.5   275.5   290.5   307.4   328.1   361.7   457.7  1123.0  3511.3  56941.7    56902
read      207.9   106.9    59.1   102.1   111.5   184.2   232.6   261.9   282.3   304.9   331.7   370.6   492.0   900.6  2799.0 102227.6   102243
read      203.7    61.7    68.9   114.6   129.3   201.2   221.2   233.1   242.7   253.8   270.5   297.7   364.5   507.3  1179.8  14098.6    14085
read      209.1   102.1    59.1   102.0   111.4   186.3   236.7   265.9   285.7   307.6   333.6   371.9   491.4   787.4  2335.6  94050.7    94103
read      215.9    97.4    59.1   103.8   113.6   207.2   251.9   273.1   288.2   305.2   326.0   360.2   454.9   766.2  2250.2  58117.8    58175
read      213.8   113.1    63.8   110.5   122.0   193.3   232.0   255.7   273.6   295.1   322.6   367.1   506.3  1262.1  3134.6 151424.4   151312
read      210.7   108.7    54.7   101.8   111.0   189.9   242.2   270.0   288.6   308.9   333.6   370.8   483.0   780.2  2936.5  83347.4    83333
read      205.3   110.6    54.7   108.8   119.9   186.9   223.4   245.6   262.6   282.9   309.0   348.0   456.3   998.8  3542.7 165206.7   165153
read      202.3   115.6    59.1   101.5   110.8   178.2   221.3   248.5   268.2   290.7   317.7   359.6   497.3  1256.7  3603.3 123908.1   123975
read      209.6    93.6    63.8   109.7   120.9   207.3   233.3   248.0   258.6   271.5   289.5   317.2   392.0   679.2  3761.3  28434.5    28449
read      200.1    63.5    68.9   113.5   126.8   196.7   216.7   229.1   238.0   250.5   267.6   295.2   369.6   546.2  1294.8  14890.4    14903
read      214.2    82.9    63.8   108.7   119.5   210.8   240.2   256.4   268.9   284.1   304.2   337.0   430.0   709.2  2520.9  31180.8    31189
read      212.7    84.4    59.1   105.4   115.5   209.3   243.1   260.8   273.4   289.6   310.3   342.6   425.4   653.2  1891.5  40666.8    40636
read      208.1   102.4    63.8   100.1   109.2   189.2   240.4   266.3   283.6   303.2   327.4   366.1   480.5   789.9  2179.2  80393.8    80574
read      199.5    93.8    59.1   108.6   119.3   182.4   216.4   237.0   253.4   273.1   298.3   337.7   432.5   880.0  2625.7 168958.8   168820
read      201.0   111.4    59.1   107.0   117.6   181.5   216.6   238.5   255.4   275.8   302.6   342.5   451.8  1252.6  3368.3 162402.2   162621
read      207.2   109.0    63.8    99.7   108.8   180.5   231.0   261.1   281.9   305.5   334.6   381.4   533.6  1016.4  2069.2 101621.3   101621
read      213.8   115.1    63.8   101.9   111.2   203.3   247.6   269.5   284.9   302.4   324.5   361.9   462.6  1077.4  2744.2  58492.6    58592
read      202.7   114.0    59.1   105.3   115.7   180.6   217.6   241.2   259.6   281.4   309.4   352.3   503.4  1318.4  3099.2 152887.0   153042
read      199.1   104.3    59.1    99.5   108.5   175.7   220.8   248.9   268.9   291.4   317.8   358.3   474.6   796.9  2254.0 112213.6   112238
read      208.8   134.7    59.1   108.1   119.0   185.9   222.8   245.4   263.0   284.3   312.3   357.9   533.6  1744.3  3991.4 160307.2   160265
read      209.4   107.6    63.8   101.8   111.1   200.5   241.6   261.5   274.9   291.4   312.5   345.1   449.5  1132.2  3297.8  57238.6    57109
read      202.5   103.8    59.1    98.3   107.1   181.9   231.6   258.2   275.4   295.1   319.3   358.5   465.6   870.1  2508.2  88367.5    88551
read      192.4    83.6    68.9   113.3   127.5   188.0   204.6   214.7   222.6   233.1   249.5   278.1   362.7   865.5  3456.3   8400.2     8385
read      215.3    99.3    59.1   105.3   116.5   209.7   242.4   260.8   274.1   291.1   312.0   343.2   429.6   910.5  3125.3  34124.5    34088
read      201.1   127.4    59.1    99.8   108.9   176.9   221.1   248.1   267.1   288.2   313.6   351.9   488.1  1412.6  4632.1 113653.8   113600
read      194.3    91.2    59.1   101.1   110.2   174.0   214.4   239.9   259.0   280.5   306.2   342.1   430.1   672.9  2158.8 132050.0   131842
read      192.8    91.1    54.7    98.7   107.5   174.0   217.5   243.8   261.9   281.4   304.3   336.4   400.2   554.8  2060.6 111936.3   112066
read      202.1    84.4    54.7   101.0   110.2   192.0   237.0   258.1   271.6   287.4   306.6   335.5   398.5   542.5  1162.3  72595.5    72585
read      192.7    91.8    59.1   101.3   110.3   173.3   213.0   238.0   257.0   278.3   303.8   338.4   403.7   558.8  2039.1 133806.2   133669
read      193.3    78.2    63.8   112.8   128.9   190.1   207.9   217.9   226.7   236.0   251.7   277.5   340.9   510.9  2486.1  11839.1    11820
read      194.2    70.6    63.8   112.8   129.1   191.5   209.8   220.1   229.0   239.1   253.6   278.9   339.9   487.3  2167.1  12609.2    12639
read      195.7    96.4    54.7    99.6   108.6   174.9   217.9   244.7   263.6   284.3   309.0   343.6   433.1   800.1  2186.5 118704.3   118548
read      193.8    90.0    54.7   106.0   116.2   177.0   210.8   231.9   248.7   268.9   294.2   331.9   411.2   598.5  2959.5 165846.6   165754
read      200.8    92.7    59.1    99.6   108.8   184.8   232.0   256.3   271.9   289.6   311.2   342.7   425.0   639.5  2377.0  86885.0    86823
read      201.1    68.2    63.8   113.7   129.5   198.2   218.0   230.1   238.6   250.5   266.8   294.5   364.0   517.2  2118.3  17003.0    16898
read      193.1    91.8    59.1    99.4   108.3   172.5   214.3   240.4   259.5   280.5   305.3   340.1   420.0   699.3  2672.2 123164.6   123124

Total QPS = 95098.3 (91294328 / 960.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 22549699757 bytes :   22.4 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.87%,37.19%,100.00%
Timestamp end: 1747324188457
