Timestamp start: 1747332242732
Random waveform, supplied seed
Total number of intervals = 96 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124)
Average QPS expected = 95088
Timestamp start: 1747332244239
Timestamp end: 1747333204473

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      185.7    84.7    54.7   100.1   114.3   184.1   199.2   208.5   215.3   224.2   235.3   258.9   330.0  1030.6  2980.2   8169.2     8195
read      209.7   116.5    63.8   108.8   120.0   187.2   224.0   246.6   264.1   285.3   313.6   362.5   556.3  1420.8  2891.0 158513.5   158594
read      215.4   118.3    63.8   110.3   121.7   191.0   229.5   253.5   272.0   294.5   324.9   378.6   610.6  1361.7  2671.8 149756.3   149766
read      202.0    79.8    63.8   104.9   122.8   201.8   220.6   231.0   238.3   248.7   262.1   284.6   346.1   992.6  3043.1  10369.2    10382
read      215.8   137.0    63.8   114.9   127.9   195.6   230.2   251.2   267.4   286.8   312.7   356.4   500.7  1819.7  4353.7 170374.7   170548
read      210.1   118.5    63.8   109.3   120.2   187.2   225.0   248.6   266.8   288.7   317.2   365.7   539.3  1295.4  3514.4 150545.5   150565
read      205.5   113.3    63.8   105.9   116.3   183.0   222.2   246.8   265.6   287.9   316.0   361.3   497.6  1139.0  3164.7 136971.5   137144
read      207.4   121.1    63.8   107.3   117.9   184.5   222.8   246.8   265.3   287.4   315.8   362.6   513.1  1298.9  3784.0 143697.6   143496
read      205.1   108.1    63.8   107.2   117.7   183.3   221.1   244.9   263.2   285.0   313.1   357.7   494.5  1216.7  3036.4 144597.0   144743
read      204.8   109.0    63.8   103.4   113.0   180.7   224.3   251.4   271.3   294.3   322.5   366.6   487.4  1092.6  2943.0 116723.1   116745
