Timestamp start: 1747265071352
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      486.9   208.5    74.4   280.2   310.5   416.8   536.6   637.4   679.2   716.3   752.7   802.5   913.9  1123.7  5314.5 132768.2   190000  1747265321043  1747265326244
read      475.2   184.0    86.8   271.6   301.2   406.1   541.9   622.4   659.6   693.1   729.9   781.0   882.1  1095.6  4028.6 135995.3   195000  1747265327748  1747265332947
read      511.7   205.8    80.4   299.9   332.4   439.4   532.5   653.6   712.2   759.3   801.9   858.1   970.4  1171.3  4015.4 126476.0   200000  1747265334452  1747265339651
read      569.7   220.6    93.8   319.3   360.2   508.8   590.6   680.1   753.8   827.0   897.3   976.0  1099.1  1362.3  6991.1 113799.7   205000  1747265341157  1747265346359
read      539.9   209.9    93.8   308.2   345.5   480.5   565.7   655.5   720.8   782.5   843.5   916.3  1036.1  1235.1  5651.4 119953.7   210000  1747265347863  1747265353062
read      576.1   220.9    93.8   336.0   376.1   509.8   591.1   690.9   768.3   837.4   902.3   978.5  1096.0  1336.3  7016.9 112623.4   215000  1747265354567  1747265359768
read      515.6   198.0    86.8   295.7   328.1   449.6   556.3   655.4   707.3   752.2   797.5   861.1   997.0  1256.7  3841.8 125426.8   220000  1747265361272  1747265366473
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 82.83%,48.48%,100.00%
Timestamp end: 1747265366777
