Timestamp start: 1747264744181
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      208.8   278.2    80.4   130.8   141.1   188.6   211.5   225.2   235.0   248.3   265.9   295.2   388.4  4399.1 11221.0   4999.0     5000  1747264745690  1747264750956
read      217.7    91.1    80.4   134.3   148.7   209.0   233.7   248.3   258.7   271.3   288.9   318.1   400.1  1065.6  2539.5   9938.2    10000  1747264752460  1747264757695
read      228.7   295.7    74.4   126.7   142.4   213.7   240.8   256.5   268.1   281.9   300.6   334.9   430.6  2041.1 12351.8  14968.8    15000  1747264759200  1747264764397
read      229.6    88.4    68.9   122.5   139.4   223.1   253.3   270.2   282.7   296.8   318.5   353.6   443.8   842.2  2569.5  19963.6    20000  1747264765901  1747264771102
read      226.0    87.3    68.9   115.1   130.7   221.1   253.8   271.2   284.2   298.8   319.7   357.1   432.7   572.6  2020.7  25065.0    25000  1747264772609  1747264777811
read      233.6    92.2    68.9   114.4   129.4   227.9   265.3   284.7   298.0   316.2   339.9   374.4   456.2   654.7  2719.8  29996.2    30000  1747264779314  1747264784512
read      232.9    85.3    68.9   112.5   126.4   228.7   268.0   288.3   302.8   319.9   343.5   378.2   447.4   558.0   733.4  35033.8    35000  1747264786017  1747264791216
read      234.1    96.1    68.9   110.1   122.7   227.5   270.0   291.7   308.1   327.5   351.7   389.1   469.8   673.7  2452.4  39857.3    40000  1747264792722  1747264797922
read      246.6   276.0    68.9   109.4   121.9   229.4   276.1   300.1   318.0   339.5   366.6   408.0   545.9  1784.1 12175.5  44877.6    45000  1747264799427  1747264804627
read      240.2   178.1    68.9   106.4   118.8   227.3   276.3   300.9   319.2   340.9   367.9   409.8   516.7  1306.0 11222.5  49977.0    50000  1747264806132  1747264811330
read      238.8   220.1    68.9   106.9   118.7   224.2   276.2   302.4   321.1   343.4   370.8   411.2   509.8   935.8  3455.6  55085.8    55000  1747264812836  1747264818041
