Timestamp start: 1747264376455
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      209.0   135.5    80.4   132.7   143.5   196.5   220.2   234.1   245.4   258.6   275.1   308.5   399.9  1083.2  7337.8   4976.4     5000  1747264377965  1747264383214
read      222.2   236.3    74.4   130.1   143.5   207.7   233.2   248.5   259.8   272.9   292.1   323.9   413.4  2047.7 10674.1   9946.4    10000  1747264384719  1747264389955
read      229.3    70.9    74.4   128.6   145.7   224.4   253.3   269.0   280.4   294.5   315.3   347.1   417.6   573.6  1173.7  15005.7    15000  1747264391459  1747264396660
read      227.0   102.5    68.9   121.7   137.5   218.0   248.7   266.4   279.2   295.0   317.3   354.9   467.3  1049.2  2881.5  20014.6    20000  1747264398164  1747264403363
read      230.5    81.5    68.9   117.7   133.5   225.7   259.2   276.9   290.3   306.4   328.2   364.1   438.6   654.3  1558.2  24942.2    25000  1747264404870  1747264410068
read      228.8    94.4    68.9   114.4   128.9   223.4   259.5   278.0   291.7   308.9   331.4   365.3   433.7   630.1  3028.3  29920.2    30000  1747264411572  1747264416771
read      235.8   245.1    68.9   111.6   125.1   227.5   267.1   287.5   302.2   320.8   345.2   383.1   470.0   716.9 18619.7  35018.4    35000  1747264418276  1747264423475
read      240.6   105.8    63.8   110.4   123.9   234.6   278.1   300.0   316.9   336.7   361.4   398.2   483.0   719.9  2521.4  40077.1    40000  1747264424980  1747264430178
read      232.7   106.2    68.9   107.6   119.7   223.2   268.1   290.6   307.6   328.2   353.4   393.0   492.7   918.3  2581.7  45065.8    45000  1747264431683  1747264436883
read      244.2   188.9    68.9   108.1   120.7   230.7   280.9   306.4   324.6   346.3   373.8   416.3   521.9  1232.7 10892.0  49953.1    50000  1747264438388  1747264443587
read      239.2   110.8    68.9   106.8   119.0   225.8   278.1   305.0   325.0   347.7   375.3   417.1   521.8   852.9  1565.1  54924.0    55000  1747264445092  1747264450290
read      238.8   413.8    68.9   105.4   117.2   220.1   273.3   299.7   319.1   342.0   369.4   410.1   493.9   682.8 32690.5  59910.7    60000  1747264451795  1747264456992
read      233.7   105.6    68.9   104.8   116.5   216.9   272.4   300.9   321.1   344.5   373.1   416.0   505.2   730.2  1490.1  64884.7    65000  1747264458498  1747264463698
read      230.6   113.6    63.8   102.8   114.0   211.1   267.1   296.0   317.5   342.3   372.2   416.1   507.3   795.2  2981.9  70097.9    70000  1747264465204  1747264470404
read      234.5   112.0    63.8   104.4   116.2   213.9   271.5   301.6   323.8   349.6   380.5   423.9   516.6   825.8  2163.6  75102.2    75000  1747264471909  1747264477106
read      232.3   124.3    63.8   103.8   115.6   211.8   267.0   297.0   319.3   345.1   376.2   419.7   506.4   743.6  3503.2  79555.0    80000  1747264478611  1747264483814
read      230.4   105.2    63.8   104.5   116.2   209.9   265.0   295.4   318.2   344.4   375.0   419.3   500.6   638.4  2032.1  84935.2    85000  1747264485319  1747264490519
read      232.0   118.2    68.9   104.5   116.2   208.4   264.1   295.5   319.1   346.0   378.8   425.5   530.5   820.6  3234.2  89781.1    90000  1747264492024  1747264497222
read      242.4   117.3    68.9   107.8   121.5   221.0   275.4   307.4   330.7   357.2   389.6   435.2   548.6   929.7  2624.9  94785.8    95000  1747264498726  1747264503924
read      257.3   116.3    68.9   113.0   129.3   240.6   295.3   326.4   348.8   374.2   404.8   452.8   567.2   880.0  1746.1 100030.6   100000  1747264505429  1747264510629
read      248.4   124.1    68.9   110.9   125.7   227.4   281.4   312.8   335.6   362.4   395.2   444.5   574.1  1058.7  2381.9 104837.6   105000  1747264512133  1747264517332
read      252.5   137.5    68.9   113.0   128.7   230.3   284.5   316.7   339.8   366.2   399.1   450.2   590.9  1089.9  3180.5 110037.4   110000  1747264518837  1747264524037
read      281.8   126.1    63.8   123.3   142.8   263.3   320.3   352.5   375.0   402.1   437.0   500.3   671.2   905.1  1906.3 114995.1   115000  1747264525542  1747264530743
read      359.9   170.8    68.9   143.1   171.5   334.2   400.7   442.9   478.4   527.1   592.7   683.0   831.5  1153.7  2437.9 120036.2   120000  1747264532248  1747264537447
read      555.8   204.5    93.8   325.4   359.9   492.3   576.4   679.3   749.9   810.0   866.9   934.2  1056.3  1280.1  4545.4 116218.3   125000  1747264538951  1747264544152
read      501.8   195.5    80.4   261.6   305.0   449.3   529.5   614.1   677.2   737.9   797.4   866.3   995.4  1262.4  3194.1 124049.0   130000  1747264545656  1747264550857
read      503.3   196.9    86.8   283.0   316.7   443.4   548.1   636.8   684.6   729.0   777.0   840.2   955.0  1296.0  4798.8 126859.2   135000  1747264552362  1747264557560
read      519.4   206.5    80.4   290.2   326.9   458.0   556.9   649.8   703.5   752.6   803.8   869.7  1004.5  1554.5  4470.6 124168.8   140000  1747264559065  1747264564266
read      513.5   212.4    86.8   293.4   327.3   450.3   547.2   647.7   700.5   747.4   794.4   855.2   967.8  1270.2  5849.3 125804.2   145000  1747264565771  1747264570970
read      528.8   195.6    93.8   302.9   337.1   464.9   569.8   667.3   719.8   768.3   817.8   878.2  1002.0  1251.2  3286.0 122334.3   150000  1747264572476  1747264577675
read      496.3   199.1    93.8   269.6   303.7   444.3   542.7   616.4   663.4   710.9   765.6   846.7   993.8  1371.3  4024.4 129941.6   155000  1747264579179  1747264584381
read      534.7   202.9    86.8   293.1   329.3   486.2   569.5   640.8   699.0   764.8   837.4   921.4  1051.6  1272.1  3904.3 121079.2   160000  1747264585885  1747264591088
read      471.7   176.2    86.8   262.8   294.8   412.1   535.5   609.4   648.3   684.0   722.9   774.4   873.7  1176.4  2729.4 136843.4   165000  1747264592593  1747264597793
read      482.0   181.1    86.8   273.8   305.2   422.0   528.7   614.8   660.5   702.5   743.7   798.3   909.5  1142.4  3676.7 134011.7   170000  1747264599298  1747264604499
read      556.0   205.6    93.8   325.8   361.2   491.3   576.0   680.5   750.9   811.6   867.7   935.0  1061.4  1294.9  4328.8 116525.4   175000  1747264606003  1747264611204
read      553.9   243.5    80.4   304.3   345.1   493.6   572.8   661.1   737.4   809.9   876.9   952.4  1086.0  1587.2  7439.1 116959.6   180000  1747264612710  1747264617910
read      508.2   196.5    74.4   293.6   326.3   436.3   541.4   653.6   706.1   749.4   791.8   848.7   959.5  1371.8  4083.7 127259.0   185000  1747264619414  1747264624615
read      498.2   187.3    86.8   285.0   316.4   433.8   543.6   638.8   685.3   727.3   772.1   829.5   935.6  1176.8  3681.8 129789.6   190000  1747264626120  1747264631323
read      491.1   182.9    86.8   273.6   305.3   432.3   553.7   627.6   669.1   709.8   751.8   807.0   922.4  1164.4  3045.4 131638.8   195000  1747264632829  1747264638029
read      502.7   200.3    80.4   282.6   314.4   440.9   552.1   641.4   685.2   727.5   775.5   841.8   960.2  1335.2  4634.9 128630.4   200000  1747264639534  1747264644738
read      551.7   209.9    93.8   309.4   348.1   496.9   583.7   667.0   729.4   791.7   856.3   932.3  1065.7  1313.3  5727.8 117494.1   205000  1747264646244  1747264651446
read      535.6   195.3    93.8   302.8   339.7   476.9   575.1   664.6   719.2   772.3   828.4   898.4  1013.1  1257.6  3215.0 120863.1   210000  1747264652951  1747264658152
read      560.2   234.2    93.8   321.5   358.1   496.0   581.2   679.6   749.8   814.0   875.6   947.9  1077.4  1473.3  6426.5 115615.6   215000  1747264659657  1747264664858
read      485.1   185.2    93.8   277.0   307.0   420.5   538.1   626.6   669.9   709.5   747.6   800.5   911.2  1159.1  3558.2 133240.6   220000  1747264666364  1747264671565
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 82.75%,48.24%,100.00%
Timestamp end: 1747264671860
